N;M;K;P;p_osat1;p_osat2;p_osat3;p_osat4;p_osat5;p_anticlust1;p_anticlust2;p_anticlust3;p_anticlust4;p_anticlust5;p_anticlust_c1;p_anticlust_c2;p_anticlust_c3;p_anticlust_c4;p_anticlust_c5;p_ps1;p_ps2;p_ps3;p_ps4;p_ps5;OSAT_t;ANTICLUST_t;ANTICLUST_t_c;PS_t;diversity_unconstrained;diversity_constrained
132;3;4;3;0.969266678795813;0.920092870393128;0.976807954334553;NA;NA;0.999952820344048;0.999733776234134;0.999939951202651;NA;NA;0.999317564829622;0.999733776234134;0.999439064577182;NA;NA;0.984234133403039;0.94249950382973;0.976455565401106;NA;NA;2.2586669921875;0.00471043586730957;0.0211899280548096;26.7353472709656;4154.26780235329;4152.82363608835
214;3;2;4;0.968216879769005;0.94193268929163;0.994570857346683;NA;NA;0.998055840644113;0.994418249051852;0.994570857346683;NA;NA;0.998055840644113;0.994418249051852;0.994570857346683;NA;NA;0.954939950940165;0.978124974888695;0.994570857346683;NA;NA;2.32863855361938;0.0360972881317139;0.054384708404541;16.8856847286224;23636.8927493139;23632.0797771717
472;5;2;4;0.651340133585712;0.821915502707287;0.102596031761529;0.555043841322341;0.685232443506283;0.998354954099946;0.998335618467168;0.999341690034524;0.996823109802454;1;0.998354954099946;0.998335618467168;0.999341690034524;0.999408630469326;1;0.885723914539696;0.907985904067374;0.818076223656541;0.956887448063589;0.9791384533912;3.0443651676178;0.41287899017334;0.353962182998657;29.8276476860046;150606.134046466;150589.751536416
106;5;2;4;0.940561137067254;0.177727831880837;0.851050558631678;0.577023010698483;0.827350084326206;0.994786304928865;0.994068420319708;0.98459725872272;0.993895134662343;0.995020805749833;0.994786304928865;0.994068420319708;0.98459725872272;0.993895134662343;0.995020805749833;0.904516990802912;0.994068420319708;0.98459725872272;0.920799174669429;0.973394073715989;2.78219747543335;0.0040590763092041;0.0120382308959961;18.69113945961;7530.8351269375;7529.30869821881
240;3;4;4;0.999114432475973;0.996882214698007;0.776293459941442;NA;NA;0.99999888264161;0.999999980759919;0.999999783177988;NA;NA;0.99999888264161;0.999990760379079;0.999995870498773;NA;NA;0.856442569678905;0.9669626552372;0.991677748351471;NA;NA;2.35046982765198;0.0324046611785889;0.067857027053833;32.5291752815247;14861.1407919772;14850.8372149829
490;4;10;4;0.999194134188865;0.846764173631064;0.999813722372233;0.894222031531079;NA;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;2.91262769699097;0.125807285308838;0.20176100730896;NA;28785.85377461;28763.6613581836
284;4;2;5;0.915668295405777;0.808588370573551;0.516232677225137;0.721831734380895;NA;0.999852280010213;0.999318650788764;0.999800632649891;0.999846394256929;NA;0.998859480949762;0.999318650788764;0.999800632649891;0.999846394256929;NA;0.919124129730619;0.962566726117159;0.982026879778133;0.970493150942413;NA;2.67694401741028;0.0881562232971191;0.101704597473145;23.740220785141;50296.1728485609;50289.5613066688
316;2;4;5;0.999997199013712;0.999999099572816;NA;NA;NA;0.999999996893222;0.999999997124344;NA;NA;NA;0.999999996893222;0.999999997124344;NA;NA;NA;0.985717500053717;0.989953649764901;NA;NA;NA;2.39044618606567;0.0819480419158936;0.109713554382324;33.4208469390869;21574.6704833083;21574.6704833083
80;3;2;4;0.736100443242091;0.762458925967158;0.699295993611113;NA;NA;1;0.97657330396177;0.991025569697696;NA;NA;1;0.890153491792936;0.91742435185432;NA;NA;0.939406583006266;0.97657330396177;0.991025569697696;NA;NA;2.23345351219177;0.00218510627746582;0.00978779792785645;14.104261636734;3285.90514310276;3280.38458554811
184;2;2;2;1;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;2.18088865280151;0.0232186317443848;0.0358932018280029;11.1453146934509;10190.1233688382;10190.1233688382
440;2;10;4;0.999999999989036;0.999999999989296;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2.46993350982666;0.0885994434356689;0.155019521713257;NA;15987.1688245431;15984.0977567313
188;5;4;5;0.99999527703396;0.951062177976272;0.260591777167627;0.882326110550458;0.167998041690983;0.999999884104686;0.999999876196877;0.999999712034161;0.999994545607569;0.99999889743411;0.999999884104686;0.999992244844396;0.999998632504585;0.999999921614028;0.999999923409555;0.945466670122939;0.880766639167577;0.961574745841975;0.771257826930872;0.952701652831957;7.44283080101013;0.0338280200958252;0.0638151168823242;48.656439781189;12245.1860085716;12239.1592668194
