N;M;K;P;p_osat1;p_osat2;p_osat3;p_osat4;p_osat5;p_anticlust1;p_anticlust2;p_anticlust3;p_anticlust4;p_anticlust5;p_anticlust_c1;p_anticlust_c2;p_anticlust_c3;p_anticlust_c4;p_anticlust_c5;p_ps1;p_ps2;p_ps3;p_ps4;p_ps5;p_exper1;p_exper2;p_exper3;p_exper4;p_exper5;OSAT_t;ANTICLUST_t;ANTICLUST_t_c;PS_t;EXPER_t;diversity_unconstrained;diversity_constrained
210;2;10;5;0.999999949027129;0.927939777813757;NA;NA;NA;1;0.999999999999969;NA;NA;NA;0.999999999999998;0.999999981823662;NA;NA;NA;NA;NA;NA;NA;NA;0.756070670933787;0.954301226382381;NA;NA;NA;0.0846304893493652;0.00934410095214844;0.0198574066162109;NA;0.850803852081299;3412.43873266012;3400.58572598792
180;4;10;4;0.999999978868865;0.470529505765704;0.260204063211452;0.938156445011674;NA;0.999999999999964;0.999999999978372;0.999999999984725;0.999999999972844;NA;0.99999328947763;0.999997424804824;0.99999997042184;0.999999948728452;NA;NA;NA;NA;NA;NA;0.523687299690862;0.227165917407101;0.740390676988096;0.804385602523223;NA;0.0678408145904541;0.00504612922668457;0.0130438804626465;NA;1.13903450965881;3260.99559079065;3247.90297303409
484;4;4;4;0.996563960861392;0.156002244833039;0.864319006654746;0.283642249311755;NA;0.99999990407718;0.999999974365406;0.999999914064741;0.999999706688259;NA;0.999999500959453;0.999999768662641;0.999988392501206;0.999999739679365;NA;0.720222928032038;0.898360673566819;0.553358687184198;0.953307887519854;NA;0.91450691711101;0.083421072902902;0.982554610617924;0.895678798878762;NA;0.0759017467498779;0.207348823547363;0.132090091705322;0.911446094512939;0.499221563339233;60654.96068777;60638.1812338239
480;3;4;2;0.926151140275999;0.995512416016396;0.953351824181127;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;0.966170616810334;0.995512416016396;0.925701262381209;NA;NA;0.361805027497532;0.361805027497532;0.910977927641952;NA;NA;0.0584342479705811;0.240569353103638;0.137468099594116;0.622423648834229;0.322969436645508;32249.2052241788;32250.5695496884
288;2;2;5;0.957086600387788;0.836868801072804;NA;NA;NA;0.998477279166969;0.999360608895525;NA;NA;NA;0.99979246718584;0.999360608895525;NA;NA;NA;0.873701795219351;0.978589456792213;NA;NA;NA;0.467672122680917;0.882306592739763;NA;NA;NA;0.0829474925994873;0.0685861110687256;0.0483958721160889;0.339816570281982;0.253311395645142;31576.14489379;31576.2412701072
280;5;2;5;0.9450727596104;0.881426615054686;0.161571147870023;0.037094941190758;0.260460180047631;0.999848714625539;0.999860727755575;1;0.99571269309956;0.999765122538808;0.99840910377946;0.986597316213313;1;0.999310088992932;0.999765122538808;0.810607695448769;0.916494242998811;0.898545584225683;0.829793558278433;0.510487906117859;0.832921899293066;0.568881162151466;0.404311515419414;0.333209958670819;0.740281744211601;0.110710859298706;0.053748607635498;0.0299880504608154;0.538410425186157;0.416252374649048;48733.8776524746;48722.9814328197
460;2;10;5;0.999999120171373;0.951052257733175;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0.177847783390861;0.84579223792335;NA;NA;NA;0.0730276107788086;0.125442504882812;0.266388654708862;NA;0.917985677719116;16263.8194843423;16260.2616772405
136;5;4;2;0.98962556192934;0.754687896032394;0.64876723618071;0.483579877110669;0.730264147263716;0.98962556192934;1;1;0.993156397908687;0.98962556192934;0.98962556192934;0.971130371628513;0.971700020256154;0.993156397908687;0.98962556192934;0.899004139227426;0.971130371628513;0.382644366340676;0.955204378783123;0.572047381843723;0.123368678316413;0.971130371628513;0.64876723618071;0.483579877110669;0.151186684057811;0.0530340671539307;0.00490951538085938;0.0156290531158447;0.482815027236938;0.332693815231323;3487.86987998119;3482.21982902293
340;3;4;2;0.988073023954259;0.925289779725558;0.988039139430348;NA;NA;0.998252817266666;1;0.998247758213993;NA;NA;0.998252817266666;1;0.998247758213993;NA;NA;0.874445475789256;0.925289779725558;0.988039139430348;NA;NA;0.122739877454413;0.179664854920508;0.956504744783633;NA;NA;0.0960628986358643;0.0694897174835205;0.0565752983093262;0.506924629211426;0.305137395858765;16189.5150292927;16189.5150292927
424;4;2;4;0.769224193326917;0.920234709379131;0.472288172252121;0.649832347286601;NA;0.998036591518927;1;0.99802909261627;1;NA;0.991314046478141;1;0.99802909261627;0.993853268969578;NA;0.843873295865252;0.81956354031415;0.955324340697366;0.878801682473344;NA;0.794381124488059;0.767550538655531;0.927286209444947;0.465417680704785;NA;0.0745527744293213;0.23821234703064;0.113415241241455;0.462124824523926;0.340477228164673;93354.3345917448;93342.6664754713
