" ";"B1";"B2";"B3";"Overall"
"1";"";"(N=20)";"(N=20)";"(N=21)";"(N=61)"
"2";"neonate.gender";"";"";"";""
"3";"  female";"9 (45.0%)";"9 (45.0%)";"9 (42.9%)";"27 (44.3%)"
"4";"  male";"11 (55.0%)";"11 (55.0%)";"12 (57.1%)";"34 (55.7%)"
"5";"birth.weight";"";"";"";""
"6";"  Mean (SD)";"2980 (357)";"2980 (367)";"2980 (390)";"2980 (366)"
"7";"  Median [Min, Max]";"2980 [2230, 3480]";"2960 [2360, 3610]";"2990 [2370, 3670]";"2990 [2230, 3670]"
"8";"gestational.age";"";"";"";""
"9";"  Mean (SD)";"38.8 (1.21)";"38.8 (1.29)";"38.7 (1.27)";"38.7 (1.24)"
"10";"  Median [Min, Max]";"39.0 [37.0, 41.0]";"39.0 [37.0, 41.0]";"39.0 [37.0, 41.0]";"39.0 [37.0, 41.0]"
