N;K;diversity_heuristic;diversity_optimal;time_limit;time_limit_exceeded;time_heuristic;time_optimal;solver
20;2;204.20979448254;204.20979448254;1800;FALSE;1.52;0.34;gurobi
20;2;255.37037516095;255.37037516095;1800;FALSE;1.47;0.2;gurobi
20;2;138.426406871193;138.426406871193;1800;FALSE;1.44;0.41;gurobi
20;2;163.597979746447;163.597979746447;1800;FALSE;1.37;0.24;gurobi
20;2;256.338870852115;256.338870852115;1800;FALSE;1.48;0.26;gurobi
22;2;211.846385722755;211.846385722755;1800;FALSE;1.53;0.42;gurobi
22;2;181.477138034083;181.477138034083;1800;FALSE;1.65;0.94;gurobi
22;2;273.505228136731;273.505228136731;1800;FALSE;1.57;0.13;gurobi
22;2;246.121682593639;246.121682593639;1800;FALSE;1.46;0.7;gurobi
22;2;312.93391501654;312.93391501654;1800;FALSE;1.47;0.42;gurobi
24;2;297.754428322582;297.754428322582;1800;FALSE;1.48;0.7;gurobi
24;2;348.173610952254;348.173610952254;1800;FALSE;1.77;0.94;gurobi
24;2;209.589320955246;209.589320955246;1800;FALSE;1.46;2.45;gurobi
24;2;163.823376490863;163.823376490863;1800;FALSE;1.63;1.81;gurobi
24;2;227.053823869162;227.053823869162;1800;FALSE;1.62;1.18;gurobi
26;2;253.237590053236;253.237590053236;1800;FALSE;1.83;1.1;gurobi
26;2;243.237590053236;243.237590053236;1800;FALSE;1.63;2.32;gurobi
26;2;195.480230740355;195.480230740355;1800;FALSE;1.62;1.45;gurobi
26;2;307.38617538459;307.38617538459;1800;FALSE;1.52;2.45;gurobi
26;2;246.651803615609;246.651803615609;1800;FALSE;1.76;0.91;gurobi
28;2;386.213497967548;386.213497967548;1800;FALSE;1.81;2.91;gurobi
28;2;302.43904199136;302.43904199136;1800;FALSE;1.7;4.2;gurobi
28;2;326.024386617639;326.024386617639;1800;FALSE;1.68;2.69;gurobi
28;2;420.26406016305;420.26406016305;1800;FALSE;1.68;2.77;gurobi
28;2;452.671161287358;452.671161287358;1800;FALSE;1.57;3.26;gurobi
30;2;444.122608957753;444.122608957753;1800;FALSE;1.82;2.78;gurobi
30;2;517.347763095082;517.347763095082;1800;FALSE;2.01;1.65;gurobi
30;2;548.325260670975;548.325260670975;1800;FALSE;1.78;4.69;gurobi
