"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","8","7","8","8","8","7","7","7","7","7","5","7","7","5","7","7","7","7","6","7","",""
"""endo = yes (%)""","5 (62.5)","4 (57.1)","5 (62.5)","5 (62.5)","5 (62.5)","5 (71.4)","4 (57.1)","5 (71.4)","4 (57.1)","5 (71.4)","3 (60.0)","5 (71.4)","5 (71.4)","3 (60.0)","4 (57.1)","4 (57.1)","4 (57.1)","6 (85.7)","4 (66.7)","4 (57.1)","1.000",""
"""site = UC (%)""","3 (37.5)","1 (14.3)","3 (37.5)","3 (37.5)","2 (25.0)","1 (14.3)","1 (14.3)","1 (14.3)","3 (42.9)","2 (28.6)","2 (40.0)","2 (28.6)","2 (28.6)","2 (40.0)","1 (14.3)","3 (42.9)","3 (42.9)","2 (28.6)","3 (50.0)","3 (42.9)","0.981",""
"""phase = SE (%)""","2 (25.0)","2 (28.6)","3 (37.5)","4 (50.0)","4 (50.0)","3 (42.9)","2 (28.6)","1 (14.3)","2 (28.6)","2 (28.6)","2 (40.0)","3 (42.9)","3 (42.9)","1 (20.0)","2 (28.6)","4 (57.1)","2 (28.6)","3 (42.9)","2 (33.3)","3 (42.9)","0.995",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","3 (37.5)","3 (42.9)","3 (37.5)","3 (37.5)","3 (37.5)","2 (28.6)","3 (42.9)","2 (28.6)","3 (42.9)","2 (28.6)","2 (40.0)","2 (28.6)","2 (28.6)","2 (40.0)","3 (42.9)","3 (42.9)","3 (42.9)","1 (14.3)","2 (33.3)","3 (42.9)","",""
"""   StageI_II""","1 (12.5)","1 (14.3)","1 (12.5)","1 (12.5)","1 (12.5)","2 (28.6)","1 (14.3)","2 (28.6)","1 (14.3)","2 (28.6)","1 (20.0)","1 (14.3)","1 (14.3)","1 (20.0)","1 (14.3)","1 (14.3)","1 (14.3)","1 (14.3)","1 (16.7)","1 (14.3)","",""
"""   StageIII_IV""","4 (50.0)","3 (42.9)","4 (50.0)","4 (50.0)","4 (50.0)","3 (42.9)","3 (42.9)","3 (42.9)","3 (42.9)","3 (42.9)","2 (40.0)","4 (57.1)","4 (57.1)","2 (40.0)","3 (42.9)","3 (42.9)","3 (42.9)","5 (71.4)","3 (50.0)","3 (42.9)","",""
