"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","",""
"""endo = yes (%)""","13 (81.2)","14 (87.5)","13 (81.2)","14 (87.5)","12 (75.0)","14 (87.5)","13 (81.2)","14 (87.5)","13 (81.2)","14 (87.5)","14 (87.5)","14 (87.5)","14 (87.5)","13 (81.2)","14 (87.5)","14 (87.5)","13 (81.2)","14 (87.5)","13 (81.2)","13 (81.2)","1.000",""
"""site = UC (%)""","4 (25.0)","5 (31.2)","4 (25.0)","2 (12.5)","4 (25.0)","4 (25.0)","4 (25.0)","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","3 (18.8)","3 (18.8)","4 (25.0)","3 (18.8)","4 (25.0)","4 (25.0)","3 (18.8)","3 (18.8)","3 (18.8)","1.000",""
"""phase = SE (%)""","5 (31.2)","6 (37.5)","5 (31.2)","7 (43.8)","5 (31.2)","5 (31.2)","6 (37.5)","5 (31.2)","6 (37.5)","5 (31.2)","8 (50.0)","6 (37.5)","6 (37.5)","5 (31.2)","6 (37.5)","5 (31.2)","7 (43.8)","6 (37.5)","7 (43.8)","6 (37.5)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","3 (18.8)","2 (12.5)","3 (18.8)","2 (12.5)","4 (25.0)","2 (12.5)","3 (18.8)","2 (12.5)","3 (18.8)","2 (12.5)","2 (12.5)","2 (12.5)","2 (12.5)","3 (18.8)","2 (12.5)","2 (12.5)","3 (18.8)","2 (12.5)","3 (18.8)","3 (18.8)","",""
"""   StageI_II""","4 (25.0)","4 (25.0)","3 (18.8)","4 (25.0)","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","4 (25.0)","4 (25.0)","4 (25.0)","4 (25.0)","4 (25.0)","3 (18.8)","4 (25.0)","4 (25.0)","3 (18.8)","4 (25.0)","3 (18.8)","3 (18.8)","",""
"""   StageIII_IV""","9 (56.2)","10 (62.5)","10 (62.5)","10 (62.5)","9 (56.2)","11 (68.8)","9 (56.2)","10 (62.5)","9 (56.2)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","10 (62.5)","",""
