"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","",""
"""endo = yes (%)""","12 (75.0)","14 (87.5)","14 (87.5)","14 (87.5)","14 (87.5)","14 (87.5)","12 (75.0)","14 (87.5)","15 (93.8)","12 (75.0)","13 (81.2)","14 (87.5)","14 (87.5)","14 (87.5)","13 (81.2)","14 (87.5)","13 (81.2)","13 (81.2)","14 (87.5)","13 (81.2)","0.998",""
"""site = UC (%)""","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","4 (25.0)","5 (31.2)","3 (18.8)","3 (18.8)","2 (12.5)","4 (25.0)","3 (18.8)","3 (18.8)","4 (25.0)","3 (18.8)","1 (6.2)","3 (18.8)","5 (31.2)","2 (12.5)","4 (25.0)","3 (18.8)","0.994",""
"""phase = SE (%)""","7 (43.8)","7 (43.8)","8 (50.0)","6 (37.5)","5 (31.2)","7 (43.8)","7 (43.8)","7 (43.8)","7 (43.8)","6 (37.5)","6 (37.5)","6 (37.5)","7 (43.8)","5 (31.2)","6 (37.5)","7 (43.8)","6 (37.5)","7 (43.8)","6 (37.5)","6 (37.5)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","4 (25.0)","2 (12.5)","2 (12.5)","2 (12.5)","2 (12.5)","2 (12.5)","4 (25.0)","2 (12.5)","1 (6.2)","4 (25.0)","3 (18.8)","2 (12.5)","2 (12.5)","2 (12.5)","3 (18.8)","2 (12.5)","3 (18.8)","3 (18.8)","2 (12.5)","3 (18.8)","",""
"""   StageI_II""","3 (18.8)","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","3 (18.8)","2 (12.5)","5 (31.2)","4 (25.0)","2 (12.5)","3 (18.8)","3 (18.8)","4 (25.0)","5 (31.2)","4 (25.0)","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","4 (25.0)","",""
"""   StageIII_IV""","9 (56.2)","11 (68.8)","11 (68.8)","10 (62.5)","10 (62.5)","11 (68.8)","10 (62.5)","9 (56.2)","11 (68.8)","10 (62.5)","10 (62.5)","11 (68.8)","10 (62.5)","9 (56.2)","9 (56.2)","11 (68.8)","10 (62.5)","9 (56.2)","10 (62.5)","9 (56.2)","",""
