"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","7","5","7","9","6","8","6","7","7","5","8","5","8","9","8","7","6","7","6","8","",""
"""endo = yes (%)""","4 (57.1)","3 (60.0)","5 (71.4)","6 (66.7)","4 (66.7)","5 (62.5)","4 (66.7)","5 (71.4)","4 (57.1)","3 (60.0)","5 (62.5)","3 (60.0)","5 (62.5)","6 (66.7)","5 (62.5)","5 (71.4)","4 (66.7)","4 (57.1)","4 (66.7)","5 (62.5)","1.000",""
"""site = UC (%)""","3 (42.9)","2 (40.0)","1 (14.3)","2 (22.2)","2 (33.3)","3 (37.5)","2 (33.3)","1 (14.3)","3 (42.9)","2 (40.0)","3 (37.5)","1 (20.0)","3 (37.5)","3 (33.3)","2 (25.0)","2 (28.6)","2 (33.3)","1 (14.3)","2 (33.3)","2 (25.0)","0.999",""
"""phase = SE (%)""","3 (42.9)","1 (20.0)","2 (28.6)","3 (33.3)","2 (33.3)","4 (50.0)","3 (50.0)","3 (42.9)","2 (28.6)","2 (40.0)","4 (50.0)","2 (40.0)","3 (37.5)","4 (44.4)","5 (62.5)","2 (28.6)","2 (33.3)","2 (28.6)","2 (33.3)","2 (25.0)","0.997",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","3 (42.9)","2 (40.0)","2 (28.6)","3 (33.3)","2 (33.3)","3 (37.5)","2 (33.3)","2 (28.6)","3 (42.9)","2 (40.0)","3 (37.5)","2 (40.0)","3 (37.5)","3 (33.3)","3 (37.5)","2 (28.6)","2 (33.3)","3 (42.9)","2 (33.3)","3 (37.5)","",""
"""   StageI_II""","1 (14.3)","1 (20.0)","1 (14.3)","1 (11.1)","1 (16.7)","1 (12.5)","1 (16.7)","1 (14.3)","1 (14.3)","1 (20.0)","1 (12.5)","1 (20.0)","1 (12.5)","1 (11.1)","1 (12.5)","1 (14.3)","1 (16.7)","1 (14.3)","1 (16.7)","2 (25.0)","",""
"""   StageIII_IV""","3 (42.9)","2 (40.0)","4 (57.1)","5 (55.6)","3 (50.0)","4 (50.0)","3 (50.0)","4 (57.1)","3 (42.9)","2 (40.0)","4 (50.0)","2 (40.0)","4 (50.0)","5 (55.6)","4 (50.0)","4 (57.1)","3 (50.0)","3 (42.9)","3 (50.0)","3 (37.5)","",""
