"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","15","16","16","16","16","16","15","16","16","16","15","16","16","15","15","15","16","14","16","16","",""
"""endo = yes (%)""","11 (73.3)","14 (87.5)","14 (87.5)","14 (87.5)","14 (87.5)","14 (87.5)","11 (73.3)","14 (87.5)","15 (93.8)","12 (75.0)","12 (80.0)","14 (87.5)","14 (87.5)","13 (86.7)","12 (80.0)","13 (86.7)","13 (81.2)","11 (78.6)","14 (87.5)","13 (81.2)","0.995",""
"""site = UC (%)""","3 (20.0)","3 (18.8)","4 (25.0)","4 (25.0)","4 (25.0)","5 (31.2)","3 (20.0)","3 (18.8)","2 (12.5)","4 (25.0)","3 (20.0)","3 (18.8)","4 (25.0)","3 (20.0)","1 (6.7)","3 (20.0)","5 (31.2)","2 (14.3)","4 (25.0)","3 (18.8)","0.998",""
"""phase = SE (%)""","6 (40.0)","7 (43.8)","8 (50.0)","6 (37.5)","5 (31.2)","7 (43.8)","7 (46.7)","7 (43.8)","7 (43.8)","6 (37.5)","6 (40.0)","6 (37.5)","7 (43.8)","5 (33.3)","6 (40.0)","6 (40.0)","6 (37.5)","6 (42.9)","6 (37.5)","6 (37.5)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","4 (26.7)","2 (12.5)","2 (12.5)","2 (12.5)","2 (12.5)","2 (12.5)","4 (26.7)","2 (12.5)","1 (6.2)","4 (25.0)","3 (20.0)","2 (12.5)","2 (12.5)","2 (13.3)","3 (20.0)","2 (13.3)","3 (18.8)","3 (21.4)","2 (12.5)","3 (18.8)","",""
"""   StageI_II""","3 (20.0)","3 (18.8)","3 (18.8)","4 (25.0)","4 (25.0)","3 (18.8)","2 (13.3)","5 (31.2)","4 (25.0)","2 (12.5)","3 (20.0)","3 (18.8)","4 (25.0)","5 (33.3)","4 (26.7)","3 (20.0)","3 (18.8)","4 (28.6)","4 (25.0)","4 (25.0)","",""
"""   StageIII_IV""","8 (53.3)","11 (68.8)","11 (68.8)","10 (62.5)","10 (62.5)","11 (68.8)","9 (60.0)","9 (56.2)","11 (68.8)","10 (62.5)","9 (60.0)","11 (68.8)","10 (62.5)","8 (53.3)","8 (53.3)","10 (66.7)","10 (62.5)","7 (50.0)","10 (62.5)","9 (56.2)","",""
