"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","16","15","16","14","16","15","14","16","15","12","16","16","16","15","16","14","14","16","16","16","",""
"""endo = yes (%)""","14 (87.5)","12 (80.0)","14 (87.5)","12 (85.7)","13 (81.2)","13 (86.7)","12 (85.7)","14 (87.5)","13 (86.7)","9 (75.0)","13 (81.2)","14 (87.5)","13 (81.2)","12 (80.0)","13 (81.2)","12 (85.7)","11 (78.6)","13 (81.2)","14 (87.5)","13 (81.2)","1.000",""
"""site = UC (%)""","4 (25.0)","3 (20.0)","3 (18.8)","3 (21.4)","3 (18.8)","3 (20.0)","2 (14.3)","3 (18.8)","3 (20.0)","3 (25.0)","4 (25.0)","3 (18.8)","4 (25.0)","3 (20.0)","3 (18.8)","3 (21.4)","3 (21.4)","4 (25.0)","3 (18.8)","4 (25.0)","1.000",""
"""phase = SE (%)""","7 (43.8)","6 (40.0)","6 (37.5)","5 (35.7)","7 (43.8)","7 (46.7)","6 (42.9)","7 (43.8)","6 (40.0)","5 (41.7)","7 (43.8)","6 (37.5)","7 (43.8)","7 (46.7)","6 (37.5)","6 (42.9)","5 (35.7)","7 (43.8)","6 (37.5)","7 (43.8)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","2 (12.5)","3 (20.0)","2 (12.5)","2 (14.3)","3 (18.8)","2 (13.3)","2 (14.3)","2 (12.5)","2 (13.3)","3 (25.0)","3 (18.8)","2 (12.5)","3 (18.8)","3 (20.0)","3 (18.8)","2 (14.3)","3 (21.4)","3 (18.8)","2 (12.5)","3 (18.8)","",""
"""   StageI_II""","4 (25.0)","3 (20.0)","4 (25.0)","4 (28.6)","3 (18.8)","4 (26.7)","3 (21.4)","4 (25.0)","4 (26.7)","2 (16.7)","3 (18.8)","4 (25.0)","3 (18.8)","2 (13.3)","3 (18.8)","3 (21.4)","3 (21.4)","3 (18.8)","4 (25.0)","3 (18.8)","",""
"""   StageIII_IV""","10 (62.5)","9 (60.0)","10 (62.5)","8 (57.1)","10 (62.5)","9 (60.0)","9 (64.3)","10 (62.5)","9 (60.0)","7 (58.3)","10 (62.5)","10 (62.5)","10 (62.5)","10 (66.7)","10 (62.5)","9 (64.3)","8 (57.1)","10 (62.5)","10 (62.5)","10 (62.5)","",""
