"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","16","16","16","15","16","16","16","16","16","16","15","16","15","16","16","15","16","16","16","16","",""
"""endo = yes (%)""","14 (87.5)","13 (81.2)","12 (75.0)","12 (80.0)","13 (81.2)","14 (87.5)","13 (81.2)","14 (87.5)","12 (75.0)","13 (81.2)","13 (86.7)","14 (87.5)","14 (93.3)","14 (87.5)","13 (81.2)","13 (86.7)","14 (87.5)","14 (87.5)","14 (87.5)","13 (81.2)","0.999",""
"""site = UC (%)""","4 (25.0)","4 (25.0)","4 (25.0)","3 (20.0)","3 (18.8)","5 (31.2)","3 (18.8)","3 (18.8)","3 (18.8)","5 (31.2)","4 (26.7)","4 (25.0)","3 (20.0)","3 (18.8)","3 (18.8)","3 (20.0)","4 (25.0)","3 (18.8)","2 (12.5)","4 (25.0)","1.000",""
"""phase = SE (%)""","6 (37.5)","5 (31.2)","6 (37.5)","6 (40.0)","6 (37.5)","5 (31.2)","6 (37.5)","5 (31.2)","6 (37.5)","6 (37.5)","6 (40.0)","7 (43.8)","6 (40.0)","6 (37.5)","6 (37.5)","6 (40.0)","5 (31.2)","7 (43.8)","5 (31.2)","6 (37.5)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","2 (12.5)","3 (18.8)","4 (25.0)","3 (20.0)","3 (18.8)","2 (12.5)","3 (18.8)","2 (12.5)","4 (25.0)","3 (18.8)","2 (13.3)","2 (12.5)","1 (6.7)","2 (12.5)","3 (18.8)","2 (13.3)","2 (12.5)","2 (12.5)","2 (12.5)","3 (18.8)","",""
"""   StageI_II""","4 (25.0)","3 (18.8)","3 (18.8)","4 (26.7)","3 (18.8)","4 (25.0)","4 (25.0)","4 (25.0)","3 (18.8)","3 (18.8)","3 (20.0)","4 (25.0)","4 (26.7)","4 (25.0)","3 (18.8)","4 (26.7)","5 (31.2)","4 (25.0)","4 (25.0)","3 (18.8)","",""
"""   StageIII_IV""","10 (62.5)","10 (62.5)","9 (56.2)","8 (53.3)","10 (62.5)","10 (62.5)","9 (56.2)","10 (62.5)","9 (56.2)","10 (62.5)","10 (66.7)","10 (62.5)","10 (66.7)","10 (62.5)","10 (62.5)","9 (60.0)","9 (56.2)","10 (62.5)","10 (62.5)","10 (62.5)","",""
