"","""1""","""2""","""3""","""4""","""5""","""6""","""7""","""8""","""9""","""10""","""11""","""12""","""13""","""14""","""15""","""16""","""17""","""18""","""19""","""20""","""p""","""test"""
"""n""","14","15","15","15","15","16","15","16","15","15","15","16","15","15","15","16","16","15","15","14","",""
"""endo = yes (%)""","12 (85.7)","13 (86.7)","12 (80.0)","13 (86.7)","12 (80.0)","14 (87.5)","12 (80.0)","13 (81.2)","12 (80.0)","12 (80.0)","13 (86.7)","14 (87.5)","13 (86.7)","12 (80.0)","12 (80.0)","13 (81.2)","13 (81.2)","13 (86.7)","13 (86.7)","12 (85.7)","1.000",""
"""site = UC (%)""","4 (28.6)","3 (20.0)","4 (26.7)","4 (26.7)","3 (20.0)","3 (18.8)","4 (26.7)","3 (18.8)","3 (20.0)","3 (20.0)","3 (20.0)","4 (25.0)","3 (20.0)","3 (20.0)","4 (26.7)","4 (25.0)","4 (25.0)","3 (20.0)","3 (20.0)","3 (21.4)","1.000",""
"""phase = SE (%)""","6 (42.9)","6 (40.0)","6 (40.0)","5 (33.3)","6 (40.0)","6 (37.5)","5 (33.3)","6 (37.5)","5 (33.3)","6 (40.0)","6 (40.0)","5 (31.2)","5 (33.3)","5 (33.3)","6 (40.0)","6 (37.5)","6 (37.5)","6 (40.0)","6 (40.0)","5 (35.7)","1.000",""
"""stage (%)""","","","","","","","","","","","","","","","","","","","","","1.000",""
"""   None""","2 (14.3)","2 (13.3)","3 (20.0)","2 (13.3)","3 (20.0)","2 (12.5)","3 (20.0)","3 (18.8)","3 (20.0)","3 (20.0)","2 (13.3)","2 (12.5)","2 (13.3)","3 (20.0)","3 (20.0)","3 (18.8)","3 (18.8)","2 (13.3)","2 (13.3)","2 (14.3)","",""
"""   StageI_II""","3 (21.4)","4 (26.7)","4 (26.7)","3 (20.0)","3 (20.0)","4 (25.0)","3 (20.0)","3 (18.8)","3 (20.0)","3 (20.0)","4 (26.7)","4 (25.0)","4 (26.7)","3 (20.0)","3 (20.0)","3 (18.8)","3 (18.8)","3 (20.0)","3 (20.0)","3 (21.4)","",""
"""   StageIII_IV""","9 (64.3)","9 (60.0)","8 (53.3)","10 (66.7)","9 (60.0)","10 (62.5)","9 (60.0)","10 (62.5)","9 (60.0)","9 (60.0)","9 (60.0)","10 (62.5)","9 (60.0)","9 (60.0)","9 (60.0)","10 (62.5)","10 (62.5)","10 (66.7)","10 (66.7)","9 (64.3)","",""
