ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
396497660399473;120;20;1;1;2;0.5;2.5;0.5;1.8903589949596e-05;0.000180326831878755;0.0539201754627045;0.284739121454385;3.02893180864137e-05;2.76296635064963e-05;0.0761712701047553;0.123830983375479;6.2552219107479e-05;0.170312602159725;0.0741021933463987;0.207818247798687;0.0853725961959597;0.0217048973379559;-0.117206445624962;0.629927477939399;0.999999910490989;1.46205164545113e-15
124989901657505;300;20;1;1;2;0.5;2.5;0.5;7.86064297682167e-16;2.56449179748181e-14;8.60105917179988e-13;4.64027593269616e-12;5.58695545985725e-16;2.16399922832116e-16;1.1118865589237e-12;1.96744629144153e-12;1.24459106567464e-16;0.00299004088866541;8.24134545584768e-13;1.74432123862168e-12;0.0196702351301667;-0.0208273077848824;0.118021410781;0.669784681837077;0.999999999813579;1.78850627316395e-49
873916187590520;240;20;1;1;2;0.5;2.5;0.5;9.14558172533291e-07;6.97638678100269e-08;3.75262818511248e-05;0.000131073210614938;3.49126572962107e-07;3.30575146307927e-07;1.95462652621128e-05;1.25453378611594e-05;9.29460358574823e-10;0.211701845687389;2.94485177151567e-05;5.82465974150776e-05;-0.0708533547595747;0.0159058551501086;0.610206443031439;0.717280409061251;0.999999998595844;4.62399979393578e-38
212213901126125;300;20;1;1;2;0.5;2.5;0.5;1.35035570279437e-07;2.24246835525551e-07;9.55736704403861e-10;9.96068348242080e-11;1.67236672234825e-07;1.0995896583427e-07;2.30033318099941e-10;1.89046678120689e-10;4.44543542001024e-09;0.468021722998651;2.84331942987585e-09;4.32277555879717e-09;0.0301564678712083;0.00115986414889263;0.243571471267452;0.724131299606331;0.999999999999024;1.9019323389944e-50
937217150117223;60;20;1;1;2;0.5;2.5;0.5;0.000178818241122651;0.00325000396055751;0.000233093031568158;2.37832463617677e-05;0.000279988017676441;2.26083658185179e-05;0.000204380475485436;0.00193520247982436;6.00530667631575e-05;0.602122798619274;0.000218614133144019;0.00564837722020518;0.0412995523152793;-0.112098784855758;0.424795395242873;0.0593081807379735;0.999762405816164;3.86982630066418e-06
343230596866151;140;20;1;1;2;0.5;2.5;0.5;1.70319796588752e-06;1.24602226432697e-06;0.00449603204988674;0.00163063376052718;2.29234064335727e-06;2.50168196816995e-06;0.00411063906035804;0.00456767497828909;2.04851303531758e-06;0.887624923532598;0.00250934989425707;0.0150125618578819;-0.00123986770523868;0.0136385447576254;0.003719603115716;0.935975154240039;0.999996635811424;3.71876221430027e-19
583378588765029;200;20;1;1;2;0.5;2.5;0.5;3.7239433651808e-06;1.82779362582797e-07;8.55064361853659e-09;2.21125297002054e-07;6.10038776940096e-07;9.27232247555081e-07;2.0177418000449e-08;1.74565820244757e-08;8.43053583825265e-07;0.965721660458848;1.02971467734138e-08;4.91823069660072e-08;-0.191717595602998;-0.0147475073540768;-0.00260250129777826;0.113223036093028;0.999999999064267;1.58840147254648e-30
16540015733665;180;20;1;1;2;0.5;2.5;0.5;1.44960715419027e-05;1.19522701443129e-05;2.22439569582027e-05;4.4064673721221e-05;3.8893159943793e-06;6.73368130022646e-06;3.23030171047644e-05;2.26133013999791e-05;1.44901420496281e-06;0.193426664043883;1.48684845495441e-05;2.98707352346422e-05;-0.135922762191837;0.0240997805304676;0.17062644615571;0.853421953645998;0.999999602038111;1.1578212886478e-26
400032872944467;180;20;1;1;2;0.5;2.5;0.5;1.18087513585148e-05;6.89165900600867e-05;0.000146550934686172;0.000243327120722503;1.55621957924133e-05;1.84525572835153e-05;3.44895644660189e-05;3.36420291478111e-05;6.74227123089553e-05;0.913869440245259;2.08012772635842e-05;0.00124176797273323;0.0424865626771045;-0.0173808665497246;-0.214364020779936;0.383905575120606;0.999999981048788;1.17191489395668e-26
80260163738595;120;20;1;1;2;0.5;2.5;0.5;2.16238675464418e-06;2.62119814771687e-06;8.82414747714385e-06;7.90060214719918e-06;2.96455500013421e-06;2.42511434123582e-06;1.74520658027304e-05;1.38301350598582e-05;3.63446153558027e-06;0.265710119241033;1.77419304999488e-05;7.70252888944681e-07;0.0343293141510394;-0.0223886831419822;-0.0850769959395326;0.781094295378337;0.999995909856715;1.72311477939693e-15
668504456700875;300;20;1;1;2;0.5;2.5;0.5;6.06757853221071e-11;5.70995131106423e-10;4.51051003805681e-06;4.16757663515091e-06;5.72168087546152e-11;4.37626346138033e-11;1.552931431191e-06;1.46210245665658e-06;7.89813486443452e-11;0.385770956580943;1.39059939406334e-06;2.91436601970127e-06;-0.00231414530943138;0.0104136538924412;-0.055539487426353;0.422019071690696;0.999999999813579;1.78850627316395e-49
268188754272403;280;20;1;1;2;0.5;2.5;0.5;7.66373504389776e-05;0.000166043201541136;0.000147823044474507;0.000431583404791455;0.000158599152700536;0.000156219976659363;0.000164547294978527;0.000129271661156425;8.89222233129202e-06;0.434025836372279;0.000143999614278704;9.77795974407795e-05;0.0427372244614845;-0.00929070096988794;0.301638091489028;0.953284806971829;0.999999999999996;1.40896606628889e-47
225743227544107;220;20;1;1;2;0.5;2.5;0.5;8.99045108346673e-05;1.25136659688691e-05;0.00543169893729862;0.0446015574701641;4.07090183637091e-05;4.64584603667878e-05;0.00886688970513015;0.0063171029658793;2.83281717576292e-05;0.0177604265362636;0.00675564516525197;0.00736846314521371;-0.0780820228311964;0.0254961707203907;0.0605534054609278;0.0776777384386729;0.999999958714893;5.85440525418854e-34
763561379640562;260;20;1;1;2;0.5;2.5;0.5;2.30401063906801e-10;4.67401340301466e-09;0.000131635934133978;0.00014639038953829;2.07362270539888e-10;1.00218563324084e-10;8.82904622597417e-05;6.01017757343246e-05;4.34506246985856e-09;0.00346923683195714;4.87310427749755e-05;0.000410852094820512;-0.0560884151727292;0.012018946108442;-0.269758568211697;0.465141426384788;0.999999999312525;1.22433591644056e-41
169225109729750;220;20;1;1;2;0.5;2.5;0.5;1.6725368136302e-06;2.01663048911976e-07;0.00120667504074954;0.00350168505947841;1.59564854011248e-06;1.71906807217935e-06;0.000804311605491102;0.000935332420277917;3.20545585362888e-07;0.378866829777718;0.000622104005709431;0.00153797576751073;-0.0362669573958286;-0.0110377696422087;0.152951950756321;0.588254711033024;0.999999889433055;7.0593451022669e-35
45495809735952;240;20;1;1;2;0.5;2.5;0.5;4.23234909343839e-07;4.4368458983237e-07;9.72296911811813e-09;1.35522170839222e-08;4.08247440611242e-07;1.39581193556365e-07;9.44722158262861e-09;6.08611328469556e-09;1.12863507211492e-06;0.334649333080256;8.10924375056917e-09;1.04853638252025e-08;-0.0376218220524568;-0.0245988836496833;-0.195344076041603;0.815653881094991;0.999999983800342;8.64734977609487e-38
149599732697011;180;20;1;1;2;0.5;2.5;0.5;1.96314645285905e-09;3.57338176408959e-09;5.07744855469002e-06;5.24436509882912e-05;9.03438923352953e-10;3.55221621723786e-09;6.64359350461089e-06;8.78844684804304e-06;1.84915549802714e-09;0.280079747981914;1.18518610808875e-05;0.000104335199206508;0.0125256949969297;0.0202338149950402;0.0607014449851206;0.744800103398669;0.999999188683413;1.54844397060984e-27
834722607609401;280;20;1;1;2;0.5;2.5;0.5;9.95683892402048e-14;2.00717440506488e-12;9.60955041265967e-06;1.36825196211905e-06;1.69453295085657e-13;8.74784162204068e-14;4.0990994245552e-06;6.13676857900446e-06;2.47851505534657e-15;0.471623072527853;3.37977404994152e-06;4.49929714987206e-05;0.0279062965773718;-0.00186041977182479;0.299527583263791;0.0603336780951384;0.999999991618305;1.78050871472405e-45
288512922788929;80;20;1;1;2;0.5;2.5;0.5;0.0211611958415329;0.162033810968692;0.00719345101122179;0.0316300065787244;0.016552134801563;0.0128783669148475;0.0090071865188738;0.00230349466699957;0.0118305988936491;0.35590831149052;0.00774413260331343;0.00979602639774343;-0.187367836512401;-0.0435739154680002;0.0261443492808001;0.218751901454306;0.999980239807144;1.85962550298585e-09
123497548789457;80;20;1;1;2;0.5;2.5;0.5;0.0022799431937227;0.00989995797110802;0.0189838192954542;0.135302381088617;0.0024108869534093;0.00399712548983052;0.00738655229214286;0.010326250663085;0.00212557180316658;0.942550227729597;0.00702459222822759;0.00434419278878693;0.00660525419155795;0.0242192653690459;0.0594472877240217;0.927701449663943;0.999642638648614;6.31251110958122e-09
