ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
299051170413255;290;10;1;2;2;1;2;1;0.5;1;0.000100831247011023;3.98153855249811e-06;1.66009711243703e-05;6.96869473304209e-06;1.96114199364911e-07;0.686802537253391;-0.0852461340519292;0.00600324887689642;0.226922807546685;0.731491117188044;0.999997155673905;1.30431480532591e-55
883866487753204;210;10;1;2;2;1;2;1;0.5;1;0.000132216266092746;6.56679760321299e-05;0.00017257478715723;3.91862915773966e-05;0.00919312194431036;0.434653079098262;0.00165788243767331;0.00165788243767331;-0.313339780720256;0.218731791064802;0.999975328011356;2.64348194646112e-40
399152697549927;190;10;1;2;2;1;2;1;0.5;1;9.11765071517064e-05;0.000775090902347338;0.000288262497480065;0.000274183659734587;0.00484894691911486;0.404165441269494;0.0827517725504588;0.00183892827889909;-0.218832465188991;0.219300691511789;0.999981531843228;3.24234317850395e-32
378091032332362;220;10;1;2;2;1;2;1;0.5;1;7.54107916500026e-06;1.29212214161573e-06;5.25054392007304e-06;1.83888300151314e-06;1.99247055806867e-06;0.806764899401017;0.00480530490945368;0.00800884151575613;0.0688760370355027;0.964338594201186;0.999989460902968;4.42929166920661e-39
274468282171242;90;10;1;2;2;1;2;1;0.5;1;0.101455599939879;0.0668632319444236;0.0862842784548058;0.162359990154724;0.332384528189369;0.160897264487699;-0.0273227040809445;0.00390324344013493;-0.386421100573359;0.479608155264784;0.999987448659492;6.91161846028618e-14
74461176918592;320;10;1;2;2;1;2;1;0.5;1;3.57677845560899e-07;6.56854201461279e-07;1.84106555323302e-06;1.13999811327658e-06;8.6783530217562e-07;0.276638229140941;0.0611617643362089;0.0152904410840522;0.037133928346984;0.250099965795852;0.99999657249736;8.06075492062711e-57
131440742638180;340;10;1;2;2;1;2;1;0.5;1;5.7234195691027e-06;3.00018151102072e-07;2.41924131532172e-06;5.23068880441873e-07;0.00556231430653396;0.383712024704591;-0.0338625079766899;-0.00513068302677119;-0.421742144800592;0.690464827066719;0.999999966307182;1.86785641163008e-61
30840631265732;240;10;1;2;2;1;2;1;0.5;1;9.62438918145778e-09;4.0349724580246e-08;1.13925701722762e-07;2.371225750286e-08;1.90868218755655e-06;0.0496790343983215;0.0812814083343565;-0.00290290744051273;-0.145145372025637;0.59469626003178;0.999988331716463;8.34042340374246e-44
653476385989508;390;10;1;2;2;1;2;1;0.5;1;0.000273850048443618;0.000541602279230712;0.00157338417172838;0.000651198763516875;0.000397392597537721;0.69623672022298;0.0670093601816531;-0.0187626208508629;0.0419925323805027;0.184338680198397;0.999999221974961;5.01623144249193e-73
902322424742607;220;10;1;2;2;1;2;1;0.5;1;7.83842951064638e-05;0.00316338696350763;4.37653855540383e-05;0.00186863960540265;7.54393087083505e-07;0.671949610077427;0.00633428592320728;0.0221700007312255;0.300878581352345;0.154582927817708;0.99998297750435;1.18761802754765e-39
