ID;N;K;M;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
53640492867169;340;5;3;5;3;2;0;1;2;2;0.5;0;2.02108015912869e-08;1.43635511362051e-08;2.02108015912869e-08;2.39893809136638e-08;2.02108015912869e-08;0.00162452982394179;NA;NA;NA;0.840215374856347;1;2.05027324853234e-60
397378626637906;90;5;5;5;5;3;0;1;2;2;0.5;0;0.000360638121062057;0.000326642784072719;0.000360638121062057;0.000335096178569037;0.000360638121062057;0.0520314683204389;NA;NA;NA;0.852837004517645;1;6.18862342838755e-16
808640133096394;125;5;1;5;1;3;0;1;2;2;0.5;0;2.58809254722945e-07;3.21519121514796e-07;2.58809254722945e-07;2.89985319969036e-07;2.58809254722945e-07;0.00836508670571468;NA;NA;NA;0.504206013563934;0.998035104596577;8.30283854529852e-21
475765237186501;255;5;2;5;2;2;0;1;2;2;0.5;0;4.69665242283124e-08;2.36526498108775e-08;4.69665242283124e-08;5.2758138529e-08;4.69665242283124e-08;0.029999282357446;NA;NA;NA;0.308850776387464;1;4.55426175118524e-48
331394558517313;315;5;5;5;5;3;0;1;2;2;0.5;0;1.20351288535795e-09;1.45437483003023e-09;1.20351288535795e-09;1.58991809195028e-09;1.20351288535795e-09;0.0139729747727108;NA;NA;NA;0.853236392093335;0.99929083768535;9.65999786684213e-54
680388222894516;260;5;3;5;3;4;0;1;2;2;0.5;0;3.26424061718239e-10;4.08970782570339e-11;3.26424061718239e-10;4.11168021368155e-10;3.26424061718239e-10;0.00335247770285273;NA;NA;NA;0.545036052867385;1;7.15423466262256e-44
395851267652709;255;5;2;5;2;5;0;1;2;2;0.5;0;8.64902109209977e-12;1.30250780765876e-11;8.64902109209977e-12;1.02216768932219e-11;8.64902109209977e-12;0.0166333596890091;NA;NA;NA;0.948529454074232;0.998924229305847;2.43505077709962e-43
852045378179041;70;5;4;5;4;5;0;1;2;2;0.5;0;0.00319114268669617;0.00346295763094424;0.00319114268669617;0.00415358586310477;0.00319114268669617;0.0557518510902619;NA;NA;NA;0.848951817557523;0.993936746525904;1.75628136589907e-11
724274213554514;385;5;1;5;1;5;0;1;2;2;0.5;0;5.38297702041257e-19;2.09526005206131e-19;5.38297702041257e-19;2.86696047690099e-19;5.38297702041257e-19;1.88752124332621e-05;NA;NA;NA;0.420637950604573;0.999786252534253;3.3890232664009e-66
724693751874488;205;5;2;5;2;4;0;1;2;2;0.5;0;1.01555469473577e-07;5.53127777776386e-08;1.01555469473577e-07;1.00371163470601e-07;1.01555469473577e-07;0.0924677903655419;NA;NA;NA;0.0147054745942629;0.999256361035997;1.14947046153603e-34
668568668227862;195;5;2;5;2;3;0;1;2;2;0.5;0;2.42748447525702e-08;1.41853558551277e-07;2.42748447525702e-08;2.28846654170812e-08;2.42748447525702e-08;0.00121483798650903;NA;NA;NA;0.015922055263075;0.999179029235591;5.80381537527831e-33
143854114716631;220;5;5;5;5;4;0;1;2;2;0.5;0;1.94647324806535e-09;2.55213177115694e-09;1.94647324806535e-09;2.17169966723968e-09;1.94647324806535e-09;0.0601067811242018;NA;NA;NA;0.354570106759468;1;6.94283346880606e-39
824405496275169;125;5;4;5;4;2;0;1;2;2;0.5;0;0.00371661457682745;0.0031530664660533;0.00371661457682745;0.00295405732711097;0.00371661457682745;0.0237357209946174;NA;NA;NA;0.894288630296597;0.99799509443338;3.93831720600759e-22
188436978067764;310;5;1;5;1;3;0;1;2;2;0.5;0;7.37589552057276e-18;1.2225467811755e-17;7.37589552057276e-18;1.0327037546225e-17;7.37589552057276e-18;0.00327379824569217;NA;NA;NA;0.667277949486094;0.999672660251119;1.70236296200229e-52
740423426041647;395;5;3;5;3;3;0;1;2;2;0.5;0;6.28268166416698e-20;8.71500302320852e-20;6.28268166416698e-20;8.79126436027954e-20;6.28268166416698e-20;0.00322623085128677;NA;NA;NA;0.661967549893933;0.999791839590165;5.07966989910401e-73
820466204072388;235;5;2;5;2;5;0;1;2;2;0.5;0;4.59887847956581e-12;1.44880312216787e-11;4.59887847956581e-12;6.22907750151823e-12;4.59887847956581e-12;1.08241350755431e-05;NA;NA;NA;0.0816955411168481;0.998736145437276;6.28090559646023e-40
916954062267526;130;5;2;5;2;4;0;1;2;2;0.5;0;3.9672817584719e-07;3.19630631680381e-07;3.9672817584719e-07;5.91305455800341e-07;3.9672817584719e-07;0.0807102714190942;NA;NA;NA;0.936790872131795;0.995872630773351;1.24306428058375e-23
450389516598754;225;5;5;5;5;4;0;1;2;2;0.5;0;2.23933225589078e-08;1.02096652669606e-08;2.23933225589078e-08;2.67878814706666e-08;2.23933225589078e-08;0.368640957313414;NA;NA;NA;0.821506763644663;0.998627295276378;7.37830084636175e-38
244414250379788;240;5;4;5;4;4;0;1;2;2;0.5;0;2.27817891211418e-09;3.95529100198619e-09;2.27817891211418e-09;3.01233338232903e-09;2.27817891211418e-09;0.00150602418901268;NA;NA;NA;0.838224440151032;0.998789408058471;1.37932788432391e-40
345449942998394;245;5;4;5;4;2;0;1;2;2;0.5;0;8.65454738752143e-11;2.13735249977993e-10;8.65454738752143e-11;1.15790050143962e-10;8.65454738752143e-11;0.0622535031197459;NA;NA;NA;0.10557199841594;0.999469138007319;1.536680767786e-43
68738712336449;140;5;1;5;1;3;0;1;2;2;0.5;0;1.08404615533407e-05;3.86293253629704e-06;1.08404615533407e-05;1.52503226049883e-05;1.08404615533407e-05;0.0133167272199522;NA;NA;NA;0.283438430676386;0.996517428337896;1.48441168215567e-23
498448982393292;395;5;3;5;3;3;0;1;2;2;0.5;0;3.26502398627152e-22;4.24533356649548e-22;3.26502398627152e-22;3.22407587168754e-22;3.26502398627152e-22;1.1419820763564e-06;NA;NA;NA;0.737706225595728;0.999545697339285;4.30560819783271e-68
802077654581904;270;5;1;5;1;2;0;1;2;2;0.5;0;2.09925079858564e-14;1.62989349834068e-14;2.09925079858564e-14;2.37326700304732e-14;2.09925079858564e-14;0.000815035203009172;NA;NA;NA;0.983384334623673;0.999023363727673;3.33493130594051e-48
406698214623259;260;5;5;5;5;4;0;1;2;2;0.5;0;1.41230778209226e-05;6.69251240468972e-06;1.41230778209226e-05;1.59967567399953e-05;1.41230778209226e-05;0.0382351677117187;NA;NA;NA;0.0224038454689233;1;2.863445726135e-44
175457920946187;180;5;2;5;2;3;0;1;2;2;0.5;0;4.79183635957246e-06;2.94273518787048e-06;4.79183635957246e-06;5.27920809408601e-06;4.79183635957246e-06;0.154508741576302;NA;NA;NA;0.241759303575343;0.99902195018236;5.29945225947285e-32
21568973513831;180;5;3;5;3;5;0;1;2;2;0.5;0;2.74865178060166e-11;3.2501896443559e-11;2.74865178060166e-11;4.74984174883779e-11;2.74865178060166e-11;0.0158846069455531;NA;NA;NA;0.0255784652545179;0.9978487402565;2.9351021047629e-31
135351483845229;310;5;1;5;1;3;0;1;2;2;0.5;0;1.57923010163428e-15;1.96662284421666e-15;1.57923010163428e-15;1.81049946753534e-15;1.57923010163428e-15;0.000924921782759202;NA;NA;NA;0.791938444318386;1;1.63496795828355e-55
530065291911460;45;5;4;5;4;4;0;1;2;2;0.5;0;0.0140908590615363;0.000346485174992065;0.0140908590615363;0.0186302800408738;0.0140908590615363;0.29542147400122;NA;NA;NA;0.268818598979832;0.967872108507235;3.97596011814556e-09
595106664664905;255;5;5;5;5;4;0;1;2;2;0.5;0;8.4476467716601e-12;1.90605203969092e-11;8.4476467716601e-12;1.09761068346105e-11;8.4476467716601e-12;0.0103315625221645;NA;NA;NA;0.0710407347044172;0.999507180006393;5.36485798125661e-46
208823115565293;365;5;2;5;2;5;0;1;2;2;0.5;0;2.09283864890731e-11;1.15220772517183e-11;2.09283864890731e-11;1.78957795499861e-11;2.09283864890731e-11;6.11709319688329e-06;NA;NA;NA;0.184247435361738;0.999470624881006;3.39193444961927e-62
709512488266254;165;5;5;5;5;2;0;1;2;2;0.5;0;2.97066121197079e-06;5.41214177286413e-06;2.97066121197079e-06;3.74675338089882e-06;2.97066121197079e-06;0.264808206860417;NA;NA;NA;0.68449630077154;0.998861179517652;1.27824795463898e-27
595754991918219;215;5;4;5;4;2;0;1;2;2;0.5;0;6.45607986534284e-09;6.060343958167e-09;6.45607986534284e-09;8.6442875395844e-09;6.45607986534284e-09;0.000277670298079228;NA;NA;NA;0.580550202390689;0.999324409348478;3.52415649575208e-36
92066912244266;60;5;2;5;2;3;0;1;2;2;0.5;0;0.00281912954621633;0.00150457930778027;0.00281912954621633;0.00250183762671232;0.00281912954621633;0.837502785287807;NA;NA;NA;0.139036687318038;0.991845779970387;8.09248181738833e-10
727790130873621;235;5;1;5;1;4;0;1;2;2;0.5;0;3.48036647644481e-14;1.98751318144509e-13;3.48036647644481e-14;5.38236115985414e-14;3.48036647644481e-14;0.000182676034773871;NA;NA;NA;0.0191412994770754;0.998719766237638;1.59434746679561e-41
195668896774622;155;5;2;5;2;5;0;1;2;2;0.5;0;7.94166554338308e-06;1.12147614611605e-05;7.94166554338308e-06;9.88567571324791e-06;7.94166554338308e-06;0.0240714893769644;NA;NA;NA;0.694114403311492;0.997134604958342;2.16341736867006e-26
867318068418361;250;5;1;5;1;2;0;1;2;2;0.5;0;2.92214773726485e-12;3.11769999138014e-12;2.92214773726485e-12;4.1751496862779e-12;2.92214773726485e-12;3.32326929030085e-06;NA;NA;NA;0.236459970613864;0.998883646463547;3.22707165158525e-42
574610042797122;115;5;5;5;5;2;0;1;2;2;0.5;0;0.00845526975219869;0.00664105289779034;0.00845526975219869;0.00897619582608377;0.00845526975219869;0.619325054688871;NA;NA;NA;0.721028554167294;0.994233751557472;1.48428094693907e-21
697990943678113;200;5;5;5;5;4;0;1;2;2;0.5;0;4.03945612889114e-07;3.63291001790273e-07;4.03945612889114e-07;4.00018697279676e-07;4.03945612889114e-07;0.00124685028140321;NA;NA;NA;0.235613239601939;0.998253672440766;1.41555708623229e-34
499386137893393;385;5;4;5;4;3;0;1;2;2;0.5;0;2.41633418309283e-16;6.8985184236816e-16;2.41633418309283e-16;2.97517176993648e-16;2.41633418309283e-16;0.000242215368002423;NA;NA;NA;0.673718636698169;0.999784984245924;2.17882984162569e-67
610377135593485;270;5;2;5;2;3;0;1;2;2;0.5;0;7.40988761587616e-13;3.59549904869741e-12;7.40988761587616e-13;7.51199522258918e-13;7.40988761587616e-13;3.23260836334672e-05;NA;NA;NA;0.18902514219849;0.999568868493864;7.737538005296e-46
781656635393647;395;5;2;5;2;5;0;1;2;2;0.5;0;2.47420252781347e-19;3.45001553042286e-19;2.47420252781347e-19;2.9159601095747e-19;2.47420252781347e-19;0.000147267002288366;NA;NA;NA;0.985274330598531;0.999547770251829;3.80405520732564e-67
872132742309373;170;5;2;5;2;3;0;1;2;2;0.5;0;1.29886897729169e-08;1.73135316523635e-08;1.29886897729169e-08;1.86515654995484e-08;1.29886897729169e-08;0.0019760861585608;NA;NA;NA;0.612241013551896;0.998926573453406;1.91712927122189e-28
809282234483195;110;5;3;5;3;2;0;1;2;2;0.5;0;6.1538419150513e-06;8.19113326736171e-06;6.1538419150513e-06;8.10376018565514e-06;6.1538419150513e-06;0.119730632210973;NA;NA;NA;0.256371625316989;0.994451006673539;2.48775045014208e-18
632152938184937;100;5;4;5;4;2;0;1;2;2;0.5;0;0.00322118476556606;0.0034275911193485;0.00322118476556606;0.00377900281890556;0.00322118476556606;0.373475691066549;NA;NA;NA;0.0458535699848195;1;1.63349521541863e-17
155727258019228;170;5;5;5;5;3;0;1;2;2;0.5;0;3.1222021638994e-08;1.73536376724262e-08;3.1222021638994e-08;4.07861422635176e-08;3.1222021638994e-08;0.00421291725384633;NA;NA;NA;0.669666220408991;1;5.01649261745463e-29
364669627759684;230;5;3;5;3;2;0;1;2;2;0.5;0;0.000248282808998743;9.61392052992131e-05;0.000248282808998743;0.00028828238621454;0.000248282808998743;0.449984987727799;NA;NA;NA;0.225078984938607;0.998684587256859;8.74257920556019e-39
523267632087327;325;5;2;5;2;4;0;1;2;2;0.5;0;1.6110698408827e-14;5.19475237565456e-14;1.6110698408827e-14;1.47599003535638e-14;1.6110698408827e-14;0.00133248525557516;NA;NA;NA;0.286593936752464;0.999697844954195;2.10075492461074e-57
62225425658360;340;5;2;5;2;2;0;1;2;2;0.5;0;2.13440607762593e-18;4.05250265901261e-18;2.13440607762593e-18;3.19189478055606e-18;2.13440607762593e-18;4.86972102157527e-07;NA;NA;NA;0.724533508789608;0.999723782758085;4.67881888726723e-60
975080561803461;105;5;2;5;2;5;0;1;2;2;0.5;0;7.15718818204634e-06;7.29870762299909e-06;7.15718818204634e-06;9.08526375360385e-06;7.15718818204634e-06;0.187908775602921;NA;NA;NA;0.0700071906658845;0.997156465046423;5.336834359479e-19
503837619513345;320;5;2;5;2;3;0;1;2;2;0.5;0;1.39695091992177e-18;1.94556047346923e-18;1.39695091992177e-18;1.81712854623298e-18;1.39695091992177e-18;0.000214161999369833;NA;NA;NA;0.978104786249583;0.999311608433651;7.69465528478653e-55
653130536209514;135;5;4;5;4;4;0;1;2;2;0.5;0;6.80490679649496e-06;1.14898298344176e-05;6.80490679649496e-06;9.76207004921719e-06;6.80490679649496e-06;0.00800798001733297;NA;NA;NA;0.0213607855607429;0.996227407022927;2.31617985362865e-23
81725188468749;350;5;1;5;1;3;0;1;2;2;0.5;0;1.27372271204362e-08;1.30747957965119e-08;1.27372271204362e-08;1.22348428796784e-08;1.27372271204362e-08;0.000411657732109036;NA;NA;NA;0.496101463645196;0.999739422647624;1.03404453728261e-61
223213080734133;80;5;4;5;4;2;0;1;2;2;0.5;0;8.9518465557252e-05;0.000160171364726614;8.9518465557252e-05;7.1189161267126e-05;8.9518465557252e-05;0.699954492270616;NA;NA;NA;0.608919169340985;0.995315499476507;3.71980317686986e-13
702461014065694;260;5;3;5;3;5;0;1;2;2;0.5;0;8.29397196027793e-08;9.80847811538079e-08;8.29397196027793e-08;8.83093877854303e-08;8.29397196027793e-08;0.0474768398637554;NA;NA;NA;0.6609791643615;0.99895937652732;6.82484282217603e-45
623271926782651;385;5;4;5;4;4;0;1;2;2;0.5;0;1.70619050709917e-11;1.47061447320421e-11;1.70619050709917e-11;2.04327012331979e-11;1.70619050709917e-11;0.102506053703446;NA;NA;NA;0.804435207339929;0.999780634311657;1.88626691655464e-71
98212907580255;260;5;1;5;1;3;0;1;2;2;0.5;0;3.01781333060662e-14;5.45673935529394e-14;3.01781333060662e-14;3.29352951375105e-14;3.01781333060662e-14;0.000158257829191124;NA;NA;NA;0.393369270802564;0.998966038812788;5.14683110209837e-44
