ID;N;K;M;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
786214486872534;340;20;3;20;3;2;2;1;2;0.5;0.5;0;0.244787124859065;0.16472784950305;0.168679755545028;0.170151966296746;0.413045389214414;0.525406768988214;-0.0357045281568755;0.0173421993904824;-0.121395395733377;0.936913959145154;0.999999996643867;1.18652692857441e-60
169391163328510;320;20;1;20;1;3;2;1;2;0.5;0.5;0;0.0246464147229658;0.0414108828712033;0.0236121287285934;0.0179283061974633;0.00328369882086645;0.797575572584036;-0.00433554984762061;0;0.121395395733377;0.0355517812852794;1;1.56616850483193e-56
324708617234742;120;20;1;20;1;4;2;1;2;0.5;0.5;0;0.195856242720658;0.316502382638992;0.271577259709694;0.329248420575771;0.937923996593823;0.861276726139611;0.144056891085216;0.0421984832471845;-0.423439952583817;0.707176169874304;0.999986798965667;4.73557653365303e-16
256948833335243;60;20;1;20;1;2;2;1;2;0.5;0.5;0;0.0926305904258092;0.193569502368206;0.151345996327536;0.279414287618186;0.089431290937833;0.621204357125502;0.0874921928852771;-0.0116656257180369;0.139987508616443;0.439262212777644;0.998545918475043;1.03181928360576e-05
594762335617417;220;20;3;20;3;3;2;1;2;0.5;0.5;0;0.316369340806304;0.322915976099073;0.263831790058105;0.291458430785491;0.19113871053629;0.900646344118154;-0.0268015808762001;0.00945938148571768;0.0693687975619296;0.68138524710381;0.999999842739258;3.44673331970155e-36
367951899222019;240;20;3;20;3;5;2;1;2;0.5;0.5;0;0.0517085734512368;0.121028907649782;0.100406035614447;0.0685522650898959;0.458106519853633;0.0950718572981778;0.0693784341248103;-0.0260169127968039;-0.244269903481103;0.936473430174466;0.999999999992727;7.2054713336947e-39
564794066431350;360;20;5;20;5;2;2;1;2;0.5;0.5;0;0.54522941943391;0.726394750964123;0.536078872020228;0.586286727360885;0.00721375121849357;0.868133101643103;0.0284329094934889;0.0313243918148606;0.528659351090801;0.948508578936547;0.999999999850968;8.50503615236932e-62
377685556163492;260;20;4;20;4;3;2;1;2;0.5;0.5;0;0.199260178071192;0.197797853340052;0.207968744607051;0.19699379761956;0.117275187434825;0.86969546768423;0.0013341732373971;-0.0106733858991768;0.0733795280568403;0.186666810943442;0.999999974506055;6.86126490726966e-43
258121066885529;340;20;2;20;2;5;2;1;2;0.5;0.5;0;0.0646279869813306;0.0252951490884637;0.0377640188743856;0.031282530887015;0.00378598366390756;0.876391742764502;-0.0561109989235756;-0.0193837996281443;0.187716796398871;0.397248131417555;0.999999997671072;3.39089798003758e-59
928479372265975;300;20;2;20;2;3;2;1;2;0.5;0.5;0;0.115998735688751;0.112191009962714;0.109480514626266;0.0544479865260765;0.000298223992338574;0.178419669255271;-0.0375756003686649;-0.0179206709450555;0.409863087098206;0.744321130892734;0.99999999060501;1.16401263712094e-51
