ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
322239228515147;82;2;5;2;10;1;2;1.5;0.5;1;0.00611344518013775;0.000192951373232;0.0075966981818475;0.000212271182911353;6.36184225519255e-21;0.022630261410609;0.0245071540697936;0.0245071540697936;0.906764700582363;1;1;1.3583717181921e-15
811173088959581;310;2;5;2;10;1;2;1.5;0.5;1;0.0618491118735294;4.59573498665872e-07;0.00123412511816835;4.34275700487442e-07;5.46086975075358e-27;0.00100016536401423;-0.110127558908699;-0.00647809170051168;-0.913410929772148;0.0680105086960932;1;2.12838569761616e-57
841488430864639;120;2;5;2;10;1;2;1.5;0.5;1;0.00171011053814314;4.28686508450499e-05;0.00346082092184279;4.82929601096229e-05;8.12134669461484e-05;0.000145138409127618;0;0;-0.845154254728516;1;1;1.15744986443117e-19
146431185072211;250;2;5;2;10;1;2;1.5;0.5;1;2.07464958512224e-05;1.35132561678221e-10;1.0657669270822e-05;1.38538938135591e-10;3.83388041314806e-20;0.156859057179569;-0.0160005120245773;0;-0.992031745523793;0.899339984532569;1;1.38449435791951e-54
486265546573929;164;2;5;2;10;1;2;1.5;0.5;1;0.000957269284926991;9.40368649527983e-08;0.00015737070681523;9.67627470408162e-08;2.2909627097079e-11;0.482133946463336;-0.0367194036817263;0.0122398012272421;-0.917985092043157;0.753906995222144;1;4.15951923043828e-31
548763348928449;392;2;5;2;10;1;2;1.5;0.5;1;1.3158798215521e-07;3.79625070120005e-11;3.09696061285322e-06;4.94853859318530e-11;6.94810495581014e-30;0.136234966769012;0.0408695545943988;0;-0.950217144319772;0.47892730432382;1;3.9383356684666e-78
398444781591757;208;2;5;2;10;1;2;1.5;0.5;1;0.00410390119311059;3.4481227182742e-06;0.000684850341659959;3.18267436932482e-06;1.70375086976138e-11;0.023102807831604;-0.0577350269189626;0;-0.962250448649376;0.487752031649034;1;5.92926421875754e-43
476785369348136;84;2;5;2;10;1;2;1.5;0.5;1;0.61123779265781;0.0730703076777041;0.172762096432148;0.0700857323307316;1.4842790669535e-11;0.633208141077401;-0.144337567297406;0;0.866025403784439;0.270289384801699;1;1.19310315661689e-14
979495062281483;56;2;5;2;10;1;2;1.5;0.5;1;0.167380786518936;0.00475010392950671;0.165195216054629;0.00471981172068834;6.03595629427031e-08;0.284702448782093;0;0;0.930949336251263;1;1;2.10366295930287e-11
845160996517521;68;2;5;2;10;1;2;1.5;0.5;1;0.0279553564261591;0.00610421812255752;0.121002066462773;0.00651280177667794;3.89068840041908e-08;0.456059412149838;0.118469775551818;0;-0.888523316638639;0.463744415015157;1;1.41352844794791e-12
17840377805014;208;2;5;2;10;1;2;1.5;0.5;1;1.15598263205826e-06;2.04176292403125e-06;0.000732303117688395;2.34245781856077e-06;1.74737415701539e-43;3.0189142000297e-45;0.153846153846154;0;1;0.0375140016155402;1;2.77196809337589e-46
92695585638589;304;2;5;2;10;1;2;1.5;0.5;1;0.000245697893483549;3.31272415971867e-09;5.96499922504372e-05;4.66881841387087e-09;1.32098492093381e-66;0.395581950089171;-0.0197475290393182;-0.00658250967977273;0.967628922926592;0.818449269173918;1;5.08353141081738e-63
806746996077776;158;2;5;2;10;1;2;1.5;0.5;1;0.0140937787218777;6.67237444553572e-05;0.00191237095354487;5.6954447493557e-05;1.02143932547232e-28;0.0168832344450567;-0.0638043745268362;0.0127608749053672;0.88050036847034;0.521128489821145;1;1.06349654942343e-27
531206288481277;344;2;5;2;10;1;2;1.5;0.5;1;1.75738028883269e-07;2.48677138971284e-11;1.73680142007071e-05;1.6415000738955e-11;6.96200030495323e-26;0.0228054383618574;0.0698099297337232;0;-0.965704027983171;0.235273825638737;1;6.66925364556173e-71
924076276022029;366;2;5;2;10;1;2;1.5;0.5;1;9.52887587888578e-08;2.14630638854459e-12;1.76909516934505e-05;4.00694585787323e-12;6.95150534202134e-28;0.107436812684613;0.0711914750574653;-0.00547626731211271;-0.936441710371274;0.208679069192628;1;5.86704215982429e-71
416877082958512;124;2;5;2;10;1;2;1.5;0.5;1;0.000975229122403823;2.20543819890609e-05;0.00185261742126748;1.98386256914988e-05;2.76571856525857e-28;0.598739857300718;0.0322748612183951;0;0.968245836551854;0.857389018213776;1;2.9095670573318e-26
493014034841615;124;2;5;2;10;1;2;1.5;0.5;1;0.236889817579723;0.402896263440348;0.617568675188513;0.415080041998795;1.58302586198105e-09;0.095118734045809;0.0811641255929457;-0.0162328251185891;-0.892805381522402;0.469652630130473;1;1.65353701226366e-22
