ID;N;K;M;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
106875405131049;180;10;1;10;1;3;2;1;2;2;0.5;1;0.000260807745464128;2.7405709966098e-07;0.000123102635850659;1.52653728977029e-07;5.69944187686088e-06;0.35501079336114;-0.0947814635752077;-0.0174088402485075;0.191497242733583;0.604669393785178;0.999999442946455;3.11377426491475e-33
13162729740445;340;10;3;10;3;4;2;1;2;2;0.5;1;1.07359332789889e-15;6.02991631590502e-17;4.36154151455484e-16;5.29851768730588e-17;4.27639017905644e-25;0.025895783875781;0.00717398781499878;-0.00717398781499878;0.681528842424884;0.628520142273316;0.999998575919853;4.50841705469441e-63
821091742258105;110;10;2;10;2;5;2;1;2;2;0.5;1;1.34232658837202e-07;1.69344329054441e-07;4.87974944745215e-07;4.38808075172522e-07;7.0792471462574e-08;0.127112370603171;-0.00318405141922853;0.00318405141922852;0.0796012854807131;0.641752261839823;0.999994891515621;2.55411096689457e-17
809027669447290;220;10;5;10;5;5;2;1;2;2;0.5;1;6.92197123566551e-11;1.95911100668243e-12;1.07220339345828e-11;3.89434522655389e-12;2.59086529192244e-10;0.0818950844017638;-0.058575181577635;0.0332453733278469;-0.220052709170034;0.192151322200031;0.999990480504308;3.16336864196072e-40
17838095370278;50;10;2;10;2;3;2;1;2;2;0.5;1;0.000138214741430027;1.21978468357731e-05;8.72278579757738e-06;0.000149192335840515;1.10020715637991e-05;0.376739319240484;-0.250872603002127;0.0139373668334515;0.195123135668321;0.0982242269483676;0.992626391595047;4.28544872814092e-07
132807909231659;130;10;2;10;2;3;2;1;2;2;0.5;1;3.45932187174202e-06;1.23278599170264e-06;2.06570632117724e-06;6.29267240416742e-07;6.86136771621686e-06;0.00165901968389448;0.018755705030189;0.018755705030189;-0.136648708077091;0.928468128716645;0.999908695519966;2.9196123132792e-22
41127531046250;240;10;5;10;5;3;2;1;2;2;0.5;1;2.11023117493807e-11;9.78705977128753e-11;3.80357089098504e-11;1.6972574882109e-11;1.24651843660836e-08;0.0461067508660907;0.0450467685034504;-0.0247030665986663;-0.344389810816701;0.632889692196125;0.999993404688628;1.9949853179747e-42
251505787875308;380;10;3;10;3;2;2;1;2;2;0.5;1;2.86084320526073e-16;1.29542500011506e-21;1.67870674776883e-17;7.03633652479283e-22;1.43847185785389e-16;0.00290725987837011;-0.0990372326185313;0.0055020684788073;-0.0715268902244948;0.396959438361271;0.999999737687208;6.2151815846276e-71
738052589238044;100;10;5;10;5;4;2;1;2;2;0.5;1;1.01823800354202e-06;2.85365959412027e-06;2.16471984342381e-05;4.03106801081371e-06;4.67531745330535e-05;0.0506419253279337;0.247636418905857;-0.0383662057459778;-0.129049964781925;0.133815312396874;0.999722067675926;7.8797459278303e-16
201657787267803;340;10;1;10;1;4;2;1;2;2;0.5;1;3.12859859714965e-08;2.72437819049443e-13;8.37223653902927e-09;9.53035553333616e-14;1.62607487340686e-10;0.00088711329852096;-0.0359147811873984;0.00513068302677119;0.163155720251324;0.966560435025391;0.999999966307182;1.86785641163008e-61
192602903854235;270;10;2;10;2;2;2;1;2;2;0.5;1;1.84798298741637e-12;2.15053340548624e-11;8.47801810156884e-11;1.98162211765339e-11;4.8814582252039e-13;0.00215168697370323;0.0954439140547688;0.0154773914683409;0.17799000188592;0.373344906037114;0.999998819454664;1.06817062859493e-50
666847849162855;140;10;3;10;3;4;2;1;2;2;0.5;1;0.0005164206286291;1.82755247254651e-06;0.000188184379252865;2.92912289520364e-06;5.74360927441625e-05;0.0141013745512911;-0.156813969378289;-0.0224019956254698;0.121966420627558;0.473465062462474;0.999933097450056;9.12236565402708e-24
457250031691357;230;10;4;10;4;3;2;1;2;2;0.5;1;0.00107192294011368;0.000418101645217252;0.000648068358222386;0.000361087140414659;0.0010727760137037;0.151224903478938;-0.0669104212884994;-0.00912414835752265;-0.0577862729309768;0.159972194141404;0.999985468890531;1.22270800193374e-39
22398071549548;210;10;3;10;3;3;2;1;2;2;0.5;1;8.51965265096211e-11;6.7148463731675e-11;1.09703802377593e-10;1.75794149787979e-11;1.72668714928521e-10;0.18355852587681;0.0232114068228088;-0.00331591526040126;0.0198954915624076;0.526413224207441;0.99997930067228;1.66694117348924e-39
938271829424609;360;10;4;10;4;5;2;1;2;2;0.5;1;6.79627933525244e-11;1.81327539359136e-12;7.93511988895448e-11;1.73669330052701e-12;1.04306294090663e-14;0.350296774593727;0.0435523595613077;0.0145174531871026;0.390035575626823;0.802557737981124;0.999998893601024;2.95558200800109e-67
267092865488368;220;10;1;10;1;3;2;1;2;2;0.5;1;5.05699549937497e-10;2.33363080686159e-12;1.94985324322301e-10;3.86654997534104e-12;6.64065457131041e-08;0.153405518233389;-0.0301691075625143;-0.00158784776644812;-0.344562965319242;0.37675215248293;0.999999764028561;6.56190492800832e-38
192513730006752;340;10;5;10;5;4;2;1;2;2;0.5;1;5.23220595253851e-15;2.8850234422103e-14;1.31975906290854e-14;9.74028569457594e-15;6.61887858717176e-17;0.0894144450262056;-0.0112875026588966;-0.00307840981606271;0.212410277308327;0.641435482874943;0.999999966307182;1.86785641163008e-61
616482970735889;330;10;4;10;4;5;2;1;2;2;0.5;1;2.16508894796941e-09;8.79319895734454e-10;1.35636622549267e-09;7.89065180039947e-10;6.49279871848019e-11;0.0128528523507705;-0.0327657301703025;0.00951263133976525;0.0940693543599008;0.624934086629365;0.99999648061771;9.73898623674931e-60
839251197330540;120;10;5;10;5;4;2;1;2;2;0.5;1;0.00246396793351197;0.00106494861683993;0.00289050523729756;0.00118309292386528;0.000231507681288366;0.00551069416185196;-0.0291591045045265;-0.0408227463063372;0.262431940540739;0.199264748483529;0.999767021165466;3.9719953097198e-19
693059367328021;180;10;4;10;4;2;2;1;2;2;0.5;1;1.35256792512269e-09;1.23425272854327e-12;1.74286266657132e-10;2.18993884297749e-12;1.42425906238332e-10;0.00553043398194365;-0.0464207082548528;0;-0.104446593573419;0.717487792493272;1;5.06674642266393e-34
620683805558867;210;10;4;10;4;4;2;1;2;2;0.5;1;7.19523502292117e-09;1.67980632436166e-10;1.8438526896488e-09;3.34878250346035e-11;7.85455514218985e-09;0.130501036920535;-0.0331953065154646;-2.74426978732966e-20;-0.0630710823793828;0.16343069754467;1;4.21682027940883e-37
515214552799863;390;10;5;10;5;5;2;1;2;2;0.5;1;3.5328102551084e-05;6.47999509594088e-07;1.651986444847e-05;5.13650500691365e-07;7.64090861977495e-06;0.649129319853286;-0.0474032569681004;0.00626080752408874;0.0778128935136743;0.69998596833502;0.999999214699612;2.38838620165087e-71
134693566513471;150;10;2;10;2;3;2;1;2;2;0.5;1;0.000176274391237198;2.37137297191858e-06;0.000436206175180159;1.19191646523012e-06;2.05770623345823e-05;0.0101163255225935;0.0837435789358624;-6.93572689134518e-21;0.279145263119541;0.696376097240957;1;5.17055784050636e-25
686258489283433;130;10;4;10;4;2;2;1;2;2;0.5;1;0.000709999220004842;1.212135729043e-06;0.00134049282531594;4.09199901448875e-07;0.000261520885283401;0.240944841688204;0.0455280023268748;-0.0455280023268748;0.174077655955698;0.159156356460727;0.999810395595712;1.1859348348228e-23
95946408485359;260;10;2;10;2;3;2;1;2;2;0.5;1;6.46616792484938e-11;2.68304902733005e-11;2.12806417630403e-10;5.99773022613088e-11;1.14256167816471e-06;0.0507992384409376;0.0334774627713033;-0.00133909851085213;-0.440563410070351;0.351684183542104;0.999999890849018;5.00481359469486e-50
707402921030739;380;10;4;10;4;4;2;1;2;2;0.5;1;2.5482789788532e-10;9.05374054734522e-13;6.82790108537976e-11;4.52436641345464e-12;1.33140602382824e-08;0.580135004045171;-0.0641374266653083;-0.00183249790472309;-0.227229740185664;0.16206546649209;0.999999739613821;1.04121660573462e-74
899576837811093;310;10;2;10;2;2;2;1;2;2;0.5;1;2.8289871012334e-16;2.34654730551281e-18;4.88980416800649e-16;1.40423645915608e-18;9.30617598191721e-19;0.00661180878446936;-0.0383197912048573;-0.00901642145996643;0.130738111169513;0.797599912020515;0.999999339152511;5.51784367675839e-55
412237035276615;200;10;4;10;4;2;2;1;2;2;0.5;1;5.22177421184766e-14;1.11231536170019e-14;1.29742736599433e-14;8.59809922764139e-16;1.34948593521857e-16;0.334991713321771;-0.0835739913288149;0.00348224963870062;0.247239724347744;0.425939506841248;0.999995597314331;1.06937371107118e-36
860145021642920;380;10;5;10;5;5;2;1;2;2;0.5;1;5.30722727442445e-15;1.14644131952286e-14;3.06926516997796e-15;2.18304595858019e-15;7.75488467081025e-19;0.138170043035375;-0.0110243465925606;-0.0036747821975202;0.282958229209055;0.590273364313996;0.999998403040277;9.45443217762837e-69
99103596780178;250;10;5;10;5;4;2;1;2;2;0.5;1;6.39067007259045e-08;7.29924180044915e-09;4.12665102924558e-07;2.55144983842306e-08;3.49033934772545e-08;0.564201861782866;0.08913061207454;-0.0167119897639763;0.17826122414908;0.302314625490874;0.999990270713557;6.4494609781585e-48
424655875955263;40;10;4;10;4;2;2;1;2;2;0.5;1;0.0424014348781915;0.0696502336446966;0.012228623014948;0.0243518604580154;0.00992837954841897;0.281359914105422;-0.305017408276001;0.0261443492808001;0.0610034816552003;0.165692203789589;0.967858130881178;2.63997197810151e-05
674790853111416;300;10;5;10;5;3;2;1;2;2;0.5;1;1.78762952881747e-12;6.60437882768973e-15;9.00083396909104e-13;1.1721645871919e-14;3.24715854042219e-09;0.0805652584422871;0.00580891724481156;0.0243974524282085;-0.305549047077088;0.871124145424905;0.999997527002369;9.46168929653848e-55
557159045667925;40;10;1;10;1;5;2;1;2;2;0.5;1;0.0468484953747416;0.0304094973368037;0.073763082596852;0.0819000431923059;0.0172872338039935;0.0682241128207419;0.157459164324443;0.0349909254054319;0.367404716757035;0.773737450519093;0.996189778665081;4.03064329881636e-05
