ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
126511444664151;240;20;1;2;2;1;2;1;0.5;1;0.00233550112741686;3.83442409762538e-05;0.00228486036833267;0.000186461625616608;2.78790249690781e-06;0.773128820889052;-0.0377640600722668;-0.0174295661872001;0.392165239212002;0.406825413374845;0.999999943757719;3.2561535235231e-40
648697392353371;160;20;1;2;2;1;2;1;0.5;1;0.00139071115655148;0.00270803687513618;0.00118756623741508;0.000374940435181188;0.0112826798650043;0.228190294888482;-0.00651146920138676;-0.00651146920138676;-0.204026034976785;0.171983257105223;0.999999947362497;9.08911808118112e-23
762138869752774;280;20;1;2;2;1;2;1;0.5;1;0.059768731246574;0.00727568468679438;0.0119579400942476;0.011888649398459;0.0477832073686981;0.603633124469871;-0.0992604726544701;0.0223336063472558;-0.0942974490217466;0.750009973531969;0.999999986417215;1.56471654229044e-45
303284245231541;300;20;1;2;2;1;2;1;0.5;1;0.0946319237327597;0.0524664588644259;0.110070627897794;0.047641054344345;0.0718097285578106;0.153797424154296;0.0128566449943435;-0.00233757181715337;0.0514265799773741;0.283244696521909;0.999999991334319;2.65340630000185e-49
477309498553548;220;20;1;2;2;1;2;1;0.5;1;0.00281972389383928;0.00246401351365218;0.00827868621998926;0.00296166425236933;0.00141381809628668;0.769656499927612;0.0796460867936089;-0.00709717605091565;0.126960593799713;0.403585903228754;0.999999930457937;1.93133989159811e-34
191564019397825;220;20;1;2;2;1;2;1;0.5;1;8.16701894249207e-05;2.20260713498491e-05;6.96147571229657e-05;5.71015398882862e-05;1.00873024661481e-09;0.28702984266639;-0.0110652473288451;0.00632299847362578;0.554843116060663;0.704589524090177;0.999999999983014;1.96713728062458e-34
296304429908376;320;20;1;2;2;1;2;1;0.5;1;1.59036428225548e-06;5.4466630882551e-08;6.24118421013367e-07;1.55115402218571e-08;7.24456785401129e-09;0.0812174221298788;-0.0217048973379559;0.0217048973379559;0.212707993911967;0.947160314180861;0.999999995900968;3.08556940889209e-53
61154016455076;340;20;1;2;2;1;2;1;0.5;1;3.14497470998509e-06;5.59327387585453e-06;2.82899657984948e-05;2.69441095947898e-06;5.30138346086739e-06;0.651166626740818;0.0985807311790795;-0.00766171485847769;0.0515888800470831;0.0152850949966675;0.999999999999999;3.76108985820674e-57
731490961606908;340;20;1;2;2;1;2;1;0.5;1;2.78536077081725e-05;5.99854138047202e-07;7.81784958906202e-06;3.96023884540048e-07;6.67244585070275e-05;0.0649782256223436;-0.0739913898739418;-0.0147982779747884;-0.127061076404217;0.779537011941405;0.999999999748886;9.70123653936928e-58
90822033134187;100;20;1;2;2;1;2;1;0.5;1;0.698402349120051;0.270780690256394;0.617733895716733;0.328784194702563;0.986309603244333;0.185411997862373;-0.099028949350899;-0.0538578496469802;-0.248441048371554;0.412155663884494;0.999947593218658;3.95272350094247e-12
