ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
25883109368404;300;20;1;1;2;1;2.5;0.5;5.62697316535921e-11;2.64043304163814e-10;1.60460260296448e-11;2.4060954289719e-12;1.05473957325677e-10;1.2590679858221e-10;5.85769247135805e-11;1.16532551198446e-10;7.49582388765661e-10;0.731383736045826;5.02144241190885e-11;3.67676343413462e-09;0.0706821906355465;5.21360993883345e-20;-0.156427798947521;0.722597327143667;1;1.10148086373551e-49
352112396076120;140;20;1;1;2;1;2.5;0.5;7.13086211042805e-08;4.23700911946398e-06;6.44565044363059e-07;2.5619564607903e-05;9.25851092869507e-08;1.72802052578931e-07;4.24957098974708e-07;1.3231283430046e-07;1.13327108584487e-07;0.745631461331866;1.10249189444044e-06;1.91630148786179e-05;0.0400500939457407;-7.46322480478792e-21;-0.0275344395876968;0.404669202015482;1;3.93664574042237e-19
576461137630203;260;20;1;1;2;1;2.5;0.5;2.55283944572106e-11;1.03794927358645e-09;1.39797479853958e-11;5.67785228362882e-10;3.64852823860703e-11;5.20747090393246e-11;3.77952985665718e-11;2.11714744558941e-11;3.62296299296849e-09;0.46233912083764;1.78782293865319e-11;1.22231765243563e-10;0.0880554336682083;0.0200125985609564;-0.409591183880909;0.00364724663833349;0.999999974506055;6.86126490726966e-43
204233923762447;280;20;1;1;2;1;2.5;0.5;7.15314213812113e-12;5.7460660299708e-13;1.18438539776214e-11;7.31752158203821e-11;2.03747179421271e-12;3.76451032782158e-13;6.04396060333372e-12;1.82490688741073e-12;1.22626160968318e-11;0.256171655144224;5.64827177030822e-11;2.21585358835719e-11;-0.0749602881838106;0.00433654559741053;-0.1530181089372;0.790767667196588;0.999999999956522;2.06075803643525e-46
327541175655839;160;20;1;1;2;1;2.5;0.5;2.85106141189676e-10;4.48152124443323e-08;9.20634677872128e-06;1.30493140313827e-05;2.78456178383396e-10;9.57783694634841e-10;8.34339206982734e-06;2.07270172493564e-05;2.66018305370938e-09;0.0324327596389801;6.89096735158187e-06;0.000134979115996713;-0.0173911810648434;-0.015217283431738;-0.263041613605757;0.324807725951955;0.999999428229731;3.75396056730972e-23
124492834307498;140;20;1;1;2;1;2.5;0.5;2.77248647974306e-07;5.77706615764218e-06;4.24841909070205e-06;4.71260704660794e-05;1.56866319032849e-07;1.7967068004066e-07;1.83832514313156e-05;4.22202017130558e-05;5.02904944394984e-07;0.920468035723212;2.18896751178723e-05;2.93211025578842e-05;-0.0248151181636175;0.0521117481435968;-0.166261291696237;0.491915820239943;0.999998258988486;3.73480525956427e-19
409357253082294;220;20;1;1;2;1;2.5;0.5;7.15671805093775e-08;2.58283915092632e-08;3.44215044520643e-05;9.0108951997555e-06;1.42909380273684e-07;6.40958675490478e-08;1.82655969599821e-05;9.23280351498293e-06;2.63563993629115e-08;0.617408410038526;1.77682020439339e-05;9.52746350537698e-05;0.0764917863265353;-0.0134057769850629;0.175852251039354;0.282539080823363;0.999999930457937;1.93133989159811e-34
397443361547380;180;20;1;1;2;1;2.5;0.5;2.37354314696208e-10;8.95409803811855e-10;8.92771678579887e-05;0.00155049196973704;1.52709979206213e-10;8.11328891210523e-11;0.000162017382587715;0.000254420984488498;7.99606000898291e-11;0.05022234369985;0.000191778723334631;0.00158271074396776;0.00775566734329482;-7.75178080590362e-21;0.0756177565971244;0.353611643096918;1;1.57957996233027e-27
4182683559039;200;20;1;1;2;1;2.5;0.5;1.50383468765621e-07;6.68909132262369e-08;0.000606892251482368;0.00153481414299818;7.79917774503004e-08;1.509369563778e-07;0.000844165013917626;0.00114227389982344;3.80224125452746e-06;0.364135263688372;0.000913601222338564;0.00605344822819286;-0.0121492628745148;-0.0173560898207353;-0.430431027554236;0.207194871180549;0.999999992759191;2.75518750139428e-30
30412077210222;160;20;1;1;2;1;2.5;0.5;1.66465345473852e-08;2.15215705565029e-08;0.000162887942391825;3.41477287216777e-05;1.04485718956391e-08;2.70451225894562e-08;0.000210269436785891;0.000133793039347122;4.83714212611454e-08;0.325459347087513;0.000283479261519635;0.000227553845288266;-0.0281810740095339;0;-0.156079794514342;0.589867822128958;1;2.53616375345241e-24
