ID;N;K;M;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
397444341718240;82;2;3;2;3;5;0;1;2;2;0.5;0;0.00295991292287223;0.00520931804796829;0.00295991292287223;0.00318957375399223;0.00295991292287223;0.00295991292287223;NA;NA;NA;0.0772442371485779;1;1.00527100035998e-18
977531757016096;86;2;5;2;5;5;0;1;2;2;0.5;0;0.000260084500369314;0.000472398874653369;0.000260084500369314;0.000288020064761707;0.000260084500369314;0.0558877060285421;NA;NA;NA;0.383653230081458;1;4.48171393068489e-15
208339144009640;290;2;1;2;1;5;0;1;2;2;0.5;0;1.25470579899918e-12;1.53295843229944e-12;1.25470579899918e-12;1.1518645133398e-12;1.25470579899918e-12;0.638749908137262;NA;NA;NA;0.724582910263211;1;2.6596269897151e-63
43220344195218;60;2;1;2;1;3;0;1;2;2;0.5;0;0.00837733953209217;0.00796745673778913;0.00837733953209217;0.00927847476547817;0.00837733953209217;0.50585036633098;NA;NA;NA;0.603761232108192;1;1.509427907561e-11
555676083352481;158;2;5;2;5;3;0;1;2;2;0.5;0;4.45062842957769e-05;1.22877418029275e-05;4.45062842957769e-05;4.73071620449777e-05;4.45062842957769e-05;0.65984142968723;NA;NA;NA;0.0555093087394705;1;1.49473499092054e-30
913223840981956;348;2;2;2;2;4;0;1;2;2;0.5;0;1.27491435303882e-13;1.28129030942195e-13;1.27491435303882e-13;1.19344725895152e-13;1.27491435303882e-13;0.00399283639752216;NA;NA;NA;0.830148519607504;1;1.3839038774503e-72
211616072805436;388;2;4;2;4;2;0;1;2;2;0.5;0;2.23421386230955e-11;2.32054014407915e-11;2.23421386230955e-11;2.11216922050756e-11;2.23421386230955e-11;0.600247214772737;NA;NA;NA;1;1;2.89600415867721e-77
798199206650539;108;2;3;2;3;5;0;1;2;2;0.5;0;1.65734766814259e-06;3.09616920672552e-06;1.65734766814259e-06;1.85407381055287e-06;1.65734766814259e-06;0.538793430475796;NA;NA;NA;0.3355921345784;1;9.08052525092789e-23
143347667301932;166;2;2;2;2;4;0;1;2;2;0.5;0;1.30772198595697e-08;2.03086760535192e-08;1.30772198595697e-08;1.44694798974572e-08;1.30772198595697e-08;0.13152659259812;NA;NA;NA;0.162361747512314;1;2.91450691011258e-36
775245745107149;146;2;1;2;1;5;0;1;2;2;0.5;0;2.99987429566969e-12;8.08226978497084e-12;2.99987429566969e-12;2.99401877664749e-12;2.99987429566969e-12;0.0969062980623901;NA;NA;NA;0.00161986813427652;1;1.04840957867149e-28
157073743321514;396;2;2;2;2;2;0;1;2;2;0.5;0;1.18796538951489e-15;1.81739686738811e-15;1.18796538951489e-15;1.29486437485396e-15;1.18796538951489e-15;0.994294629270239;NA;NA;NA;0.421373581576841;1;2.19953820101774e-86
432268442808884;94;2;1;2;1;4;0;1;2;2;0.5;0;6.81304346789341e-05;9.09267315991497e-05;6.81304346789341e-05;7.60930713182422e-05;6.81304346789341e-05;3.04390365809577e-05;NA;NA;NA;0.67743051959405;1;8.83804383471687e-17
