ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
160591592504439;270;10;1;1;2;0.5;2.5;0.5;1.17426148923478e-11;2.71759073591874e-12;5.3297342718948e-10;8.5291310280471e-11;1.4423599963175e-11;1.54943003098536e-11;6.20835576398064e-10;3.32909713777282e-10;4.02787056546262e-10;0.0216756323384195;5.58329670758236e-10;6.4925219880198e-09;0.00903517686989822;0.0012907395528426;-0.290416399389586;0.28815178839426;0.999999906914215;5.31195432941751e-49
478692191271057;90;10;1;1;2;0.5;2.5;0.5;0.00152623133441767;0.00133263629846985;0.00117649735753253;0.00218145425802862;0.00132836456703552;0.0010368395355846;0.000707847240214283;0.0020830481463874;0.000567672217037332;0.0361879569145221;0.000717138616079856;0.00100028811904112;0.0465242105199235;-0.0465242105199235;0.302407368379503;0.891621557846255;0.999861108809747;6.57454963746829e-14
211424054113505;140;10;1;1;2;0.5;2.5;0.5;7.31390516469254e-05;0.000664435295648167;2.58891125872258e-05;9.55999652034889e-06;0.000247751916584133;0.000121939390897328;2.27985042094787e-05;1.8609864380663e-05;0.00129361413153279;0.557789715281606;3.74302060703939e-05;1.97962678995516e-05;0.187451386100528;-0.0324915735907582;-0.437386567567898;0.126597011304914;0.999930718315794;8.41264793061258e-23
677768520997318;140;10;1;1;2;0.5;2.5;0.5;0.000591795165506391;0.000275908974204216;0.00415385003553843;0.00483645353775956;0.000266894785962348;0.000259343986501466;0.00539904117675967;0.00399523823238438;0.000137306487081211;0.0539680494755684;0.00437399683422756;0.00467765946210736;-0.13434332265597;7.41763215327666e-21;0.0796108578702043;0.778748290980565;0.999979235743482;2.68224344853372e-24
83499362297738;240;10;1;1;2;0.5;2.5;0.5;2.15179479917683e-06;5.91012117254436e-06;1.99497204567271e-06;8.15319339881035e-06;4.2963520262006e-06;3.00723112094427e-06;4.48420704999472e-06;4.12626758667858e-06;2.17489971521161e-06;0.384011727096483;7.02092834589325e-06;1.63311002910626e-06;0.0855911528115105;-0.00145069750527984;0.0971967328537491;0.454309220005742;0.999999844248952;8.26200249498664e-46
552587077558080;170;10;1;1;2;0.5;2.5;0.5;7.46111606033012e-08;5.40750110618445e-08;0.0001440965402353;0.000349386033262272;9.47742715824112e-08;3.89379923631952e-08;0.000377912614336373;0.000404710832724027;1.69957988232146e-10;0.0689856286634893;0.000409492881396518;0.000265996029081112;-0.0839668693433366;-0.0348155311911396;0.661495092631652;0.807952646721394;0.999938987915676;6.17062557074422e-32
842808931707951;230;10;1;1;2;0.5;2.5;0.5;3.26767192933631e-09;1.58738179495988e-09;3.70596944051644e-07;5.08902960134316e-07;2.28663331208403e-09;2.19839539870262e-09;2.83016680323103e-07;3.29493404436395e-07;1.1584013081974e-07;0.940373413493424;4.02475292257663e-06;8.38056610678947e-07;-0.0696336950859261;0.00908265588077297;-0.43899503423736;0.239962963389828;0.999986031217512;1.05159539544045e-43
173399451993388;210;10;1;1;2;0.5;2.5;0.5;2.55070562022738e-09;3.1480349375863e-08;8.33487562190227e-06;1.05502676218713e-05;4.02450448375986e-09;5.1149109033836e-09;3.13562698824263e-06;2.34357760626276e-06;5.8185068891501e-08;0.0388519083229383;1.11745232973299e-06;2.45093357762999e-06;0.11491623743751;0.0416363179121414;-0.268137887354191;0.408039159635104;0.999974340851896;7.14343416205638e-36
750143995322605;70;10;1;1;2;0.5;2.5;0.5;0.00109116184669799;0.0102869695543897;0.0853143804221697;0.0670021730978739;0.000890632536738062;0.00123341403559246;0.0816385618136928;0.113287351333664;0.00021390770117944;0.0964711260486268;0.0694839404252352;0.0368530688405076;0.0150193498774801;0.0450580496324403;0.565728845385083;0.151237329305377;0.999963660036302;3.44684891039573e-10
484507109857669;230;10;1;1;2;0.5;2.5;0.5;8.53254414274177e-09;1.42123108038603e-08;0.00170148650773305;0.00137748293083123;1.10865789309432e-08;6.55851795064995e-09;0.00108563004209794;0.000841877403679598;3.60615515158662e-07;0.872283027030118;0.000815336002353554;0.00245758162854587;0.0484554904146515;-0.00908540445274715;-0.369473114411717;0.348528583748172;0.999997609442174;2.59224259149204e-42
161782294757429;260;10;1;1;2;0.5;2.5;0.5;1.33414716150231e-08;3.03155008921697e-08;1.43996961363642e-05;8.66926584164645e-05;1.6192165384896e-08;1.12572672598877e-08;3.08974295156153e-05;2.99766346363922e-05;4.57631855571935e-08;0.0140883950035868;5.26134927246538e-05;3.93854400664193e-05;0.0268607654675127;2.53456760201515e-20;-0.102070908776548;0.0864584898647381;1;1.29637030391027e-45
495678126864984;180;10;1;1;2;0.5;2.5;0.5;4.76600491646681e-07;3.39964406135425e-06;9.85346002807262e-05;4.37079387289309e-05;7.46902068841111e-07;9.13136766345958e-07;9.22424575336908e-05;5.69634766113071e-05;1.15101153489006e-07;0.50935472650611;0.000118262218306342;0.00104886455927012;0.0930484210398471;-0.0310161403466157;0.209358947339656;0.0228701998163637;0.999959084146563;1.13270593986098e-30
