ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
165223693693061;300;10;1;2;10;0;2;1.5;0.5;1;0.0391591505604883;7.64221221551735e-10;0.000223057206586205;2.39579367289249e-10;0.0519415896784091;0.0345838239275738;-0.0943569649654896;0.0174735120306462;-0.108335774590007;0.0382294955714423;0.999997468192431;5.08669677630054e-53
892705601061738;70;10;1;2;10;0;2;1.5;0.5;1;0.000345001827373031;0.000227417429133455;0.0512159208117686;0.000341765245307705;0.24936064927631;0.960713008097889;0.238832573610613;0;-0.129367644039082;0.627593050921566;0.997986452623056;7.1393272515745e-11
758579325779325;180;10;1;2;10;0;2;1.5;0.5;1;0.0585627605364913;5.91636946550261e-05;0.00778215961502597;4.16597483370326e-06;6.91989258264487e-08;0.567772486784645;-0.0778498944161523;0;0.233549683248457;0.524100936730354;1;2.85191874293015e-30
174506943963041;400;10;1;2;10;0;2;1.5;0.5;1;0.00176473432773227;1.12602870930638e-07;0.00328319368269563;6.39248897057881e-08;8.83977653663626e-07;0.193184343582356;0.0130599060552097;0.00435330201840322;0.117539154496887;0.986839706329534;0.99999850688187;7.43794984638223e-77
381907069056077;80;10;1;2;10;0;2;1.5;0.5;1;0.289019850303081;0.01532864941621;0.129314672266516;0.00411786811813221;0.204991966673737;0.316533104579174;-0.1116616784787;-0.0401982042523322;-0.0580640728089242;0.765571331290625;0.999975813976765;8.69379422193481e-13
903894063029907;270;10;1;2;10;0;2;1.5;0.5;1;0.034263327193786;2.03302732058412e-06;0.00911922186695699;8.64532516289529e-07;4.31669178580947e-15;0.423374487575335;-0.0593169768109815;-0.0154739939506908;0.373954853808362;0.851360578077047;0.999993038798604;3.86258181460019e-52
911943753344833;60;10;1;2;10;0;2;1.5;0.5;1;0.0224376894457014;0.00619349809722494;0.0627521167163668;0.000717011675494917;0.0420732934607282;0.272389026878561;0.058548651602024;-0.0234194606408096;-0.0351291909612144;0.0560497127070791;0.996072228268022;1.47063600997951e-08
84217735500895;350;10;1;2;10;0;2;1.5;0.5;1;1.45257480949769e-07;1.95418917843985e-12;6.88880929689493e-06;2.07564230743363e-13;1.23553793664217e-06;0.391498310421084;0.0776003014142374;0.00795900527325512;0.0497437829578445;0.0437806585556861;0.999999624913786;1.34014333874314e-67
426824560156393;70;10;1;2;10;0;2;1.5;0.5;1;0.0931575214873911;0.00733643104165689;0.185883702928118;0.0030794670485829;2.04716082584658e-08;0.190058686471751;0.00498178749410174;-0.074726812411526;0.582869136809903;0.760705163284292;0.998805512717766;2.00295367972525e-10
487143179745292;230;10;1;2;10;0;2;1.5;0.5;1;0.000370420220015926;8.27795725436963e-07;0.00106708706742872;4.05681477879936e-07;1.87056374710314e-10;0.0624483312636601;0.0635978311692301;0.0242277452073257;0.290732942487909;0.945751869121817;0.999997609442174;2.59224259149204e-42
934002619556628;150;10;1;2;10;0;2;1.5;0.5;1;1.39327490886859e-06;7.91490276220756e-05;0.0124318521388304;7.87371099103891e-06;5.27684791177924e-09;0.0526599153208048;0.215856293385065;-0.00696310623822791;0.313339780720256;0.0383964584025466;0.999896195460469;8.81962995480542e-28
801340195307938;390;10;1;2;10;0;2;1.5;0.5;1;0.000225176245365635;2.36910636828171e-10;8.96421428208228e-05;5.43241387192545e-11;1.33333400221682e-54;0.707791757633113;-0.026789985988841;0;0.700111633841711;0.139361681937023;1;9.75717629077814e-75
