ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
349600291878010;116;2;5;2;10;0;2;1;0.5;1;0.160702942024045;0.0300506709470827;0.128156794426923;0.0284631936707514;7.01116900512525e-18;0.383759551437484;0.0172644893681962;0.0172644893681962;-0.949546915250792;1;1;1.00659775405438e-23
429895546714853;360;2;5;2;10;0;2;1;0.5;1;0.000849435152856961;3.93979260885141e-06;0.00184356522301608;3.51843635228815e-06;2.93015773976538e-48;0.0148859641611662;0.0277816366064104;0.00555632732128208;-0.983469935866928;0.673247220666456;1;7.48539828946736e-77
151975495560432;330;2;5;2;10;0;2;1;0.5;1;0.036073258679172;0.0002672580440672;0.0197804148452698;0.00023878565604258;1.15324905705035e-45;0.57838153873151;-0.0242642696908977;0;-0.958438652790459;0.740956647473109;1;4.64650193285729e-67
70783088168902;116;2;5;2;10;0;2;1;0.5;1;0.117269931541601;0.00207716928222912;0.014171642571134;0.0015154243279838;3.70306093292471e-13;0.410871968131089;-0.0690065559342354;0;-0.966091783079296;0.577242201538738;1;1.62474765854701e-24
398710370561515;164;2;5;2;10;0;2;1;0.5;1;0.885970882965493;0.368266042699981;0.49357041715771;0.354154686275773;1.15336640012346e-26;0.953715285820652;-0.036919057552173;0.012306352517391;0.873751028734761;0.752612526362353;1;2.68215278881941e-28
853691420194323;64;2;5;2;10;0;2;1;0.5;1;0.00662457871798332;0.00229123342069192;0.0614893147295597;0.00290167787844642;1.01208722581063e-07;0.0843642381581249;0.12524485821703;0;-0.939336436627724;0.452370360677361;1;3.75247517541777e-13
704635342388919;182;2;5;2;10;0;2;1;0.5;1;1.63071725507308e-05;1.59867197833348e-06;0.00198344545350126;1.57666316742346e-06;3.14816285324042e-47;0.289010768086629;0.120996067691699;0.0109996425174272;0.956968899016165;0.13782672135103;1;2.67858177340761e-37
934931237832646;364;2;5;2;10;0;2;1;0.5;1;1.98752043426052e-05;4.00749430640854e-07;0.00188435641611244;8.97945472486503e-07;7.85686182077888e-92;0.329791032654673;0.0604404727830117;-0.00549458843481924;0.994520506702283;0.294500105325691;1;2.03551142390316e-79
646324611339318;390;2;5;2;10;0;2;1;0.5;1;0.0158536205616885;9.10231730401994e-09;0.000234032373956902;8.17182729149419e-09;1.51329336552704e-46;0.262070968530273;-0.0872529459593991;-0.00513252623290583;-0.95978240555339;0.104857242277188;1;2.78564044815148e-79
824428933754019;156;2;5;2;10;0;2;1;0.5;1;0.0478562391814953;6.469661278629e-05;0.00861603735138643;4.54792510203835e-05;8.87080322571719e-41;0.375940242402686;-0.0769483764063866;0;0.974679434480896;0.423187169605344;1;3.01572110112596e-33
189139580939707;238;2;5;2;10;0;2;1;0.5;1;0.169062827288562;0.00460599388488086;0.0922682156910071;0.00390774482432421;2.60904960155943e-43;0.935679016063538;-0.0422320796100723;-0.00844641592201445;0.903766503655547;0.60221363919511;1;2.14783972388618e-43
739147093916560;50;2;5;2;10;0;2;1;0.5;1;0.0732509902499673;0.00511092200282246;0.0720500608361075;0.00492719396940166;3.10662616353337e-13;0.0558142425000697;0;0;0.886405260427918;1;1;2.1915861508971e-09
703596311260123;88;2;5;2;10;0;2;1;0.5;1;0.248238382724265;0.000632555913061798;0.0239436963766279;0.00144788903892999;2.18721595156864e-21;0.620811444369555;-0.136504726557987;0;0.955533085905909;0.285923731390627;1;2.12836123628072e-18
366477991195539;46;2;5;2;10;0;2;1;0.5;1;0.878068939817952;0.743665146383307;0.883534555028683;0.74351092280668;3.53315046544822e-08;0.575088756911426;0;0;0.957427107756338;1;1;5.70314943828038e-10
962134451589246;96;2;5;2;10;0;2;1;0.5;1;0.0248472257807314;0.000390473972799359;0.0273066503077751;0.000369195998773075;2.61600282856387e-25;0.122463339257033;-0.0208741430361717;0.0208741430361717;0.939336436627724;1;1;2.27667041490732e-19
433531580809712;166;2;5;2;10;0;2;1;0.5;1;0.0181775001311264;0.000117463110518571;0.00971275774805743;7.15758591228304e-05;3.10407765844416e-53;8.97669333601706e-53;0.0120481927710843;0.0120481927710843;1;1;1;4.08718673434739e-37
789591903536581;230;2;5;2;10;0;2;1;0.5;1;0.275807188195161;2.06495817399683e-06;0.00246959746308734;1.76740211957344e-06;1.47132762427654e-59;0.111480637283232;-0.165317424548239;0.00870091708148625;0.965801796044974;0.0175391140274088;1;9.71399884633645e-48
529630862743511;118;2;5;2;10;0;2;1;0.5;1;0.209112275985692;0.126563228088142;0.31783580777134;0.126280002816526;9.07669874390475e-15;0.689497409310531;0.0342997170285018;0;-0.857492925712544;0.852213311809784;1;6.94791220660371e-20
343450913205851;168;2;5;2;10;0;2;1;0.5;1;0.142534570774869;0.0262655473488189;0.146845112150367;0.0263832515067472;1.95650187244433e-25;0.235986569603098;0;0;-0.976467291870559;1;1;7.26907559919379e-36
822002272637325;300;2;5;2;10;0;2;1;0.5;1;0.250731420300947;0.000436010062098663;0.0412746418602435;0.000431599363623805;5.49054064342541e-72;0.15883994762771;-0.0667616842337414;0;0.948015916119128;0.298009389194542;1;9.17120860169598e-60
673936632627720;274;2;5;2;10;0;2;1;0.5;1;0.0316026843711797;0.0318120549633228;0.217287764269461;0.0256822101853406;3.4751573809758e-59;0.592444352474794;0.0657004319817604;-0.00730004799797338;0.985506479726406;0.333694844739148;1;5.72469635216981e-59
781234855818444;322;2;5;2;10;0;2;1;0.5;1;0.000802811283898729;2.09448373655161e-08;0.000555428564596164;1.99064772024514e-08;7.19837412335192e-67;0.0244385324743799;-0.0187510987293815;-0.00625036624312715;0.893802372767183;0.822510163202402;1;4.14601753828454e-57
985778579608305;138;2;5;2;10;0;2;1;0.5;1;0.000336602661823214;0.00121617157128648;0.0394112737585511;0.00221874541992328;4.61498262534202e-33;0.384117104544219;0.159487301329177;0.0144988455753798;0.971422653550444;0.0885252769934688;1;2.55563134524803e-29
