ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
12470501555612;360;20;1;2;10;1;2;0;0.5;1;0.699453149236075;0.903853605119586;0.926180906292887;0.801450812198972;0.104795793293213;0.803902294824589;NA;NA;NA;0.548599523968126;0.999999998102724;3.09919094482769e-61
636137429555211;160;20;1;2;10;1;2;0;0.5;1;0.921572583266503;0.960393061595811;0.638496852013153;0.620578432745587;0.434017742743136;0.20678010424765;NA;NA;NA;0.738102753832727;0.999997425430547;7.69055797928581e-23
840131934854549;380;20;1;2;10;1;2;0;0.5;1;0.627778590984092;0.384491714508475;0.615896630323846;0.340775192521149;5.91693682487265e-09;0.250656010785377;NA;NA;NA;0.502107940271234;0.999999998873165;3.82567251666737e-68
206859495895085;60;20;1;2;10;1;2;0;0.5;1;0.565860479283064;0.762171003003693;0.141153693665368;0.27775515224891;0.441143165394188;0.362239222917492;NA;NA;NA;0.0898497861801914;0.997606746168474;3.86982630066418e-06
363103682560494;140;20;1;2;10;1;2;0;0.5;1;0.555317974937813;0.425698176514342;0.442940512901491;0.347956000608605;3.467728920745e-06;0.457517457050291;NA;NA;NA;0.676307636268706;0.999999969209998;8.69273445819977e-20
291125106809074;380;20;1;2;10;1;2;0;0.5;1;0.119835837019888;0.495626635608462;0.74044315402432;0.43211193540713;0.721618499228007;0.728326264696932;NA;NA;NA;0.610838394848226;0.999999999978717;1.5981774686354e-65
23752825049631;300;20;1;2;10;1;2;0;0.5;1;0.816925055802631;0.394077503786587;0.42292065545589;0.439378670863257;0.366553710915957;0.100274550405963;NA;NA;NA;0.410610063185621;0.999999999999056;2.31974599029501e-49
121936295086553;320;20;1;2;10;1;2;0;0.5;1;0.171312347520981;0.22059606568132;0.191687068166324;0.164895493532236;0.00135749568146615;0.91630431455109;NA;NA;NA;0.578327071372781;0.999999997476788;2.72918502550361e-53
228460548529508;380;20;1;2;10;1;2;0;0.5;1;0.181920938532767;0.0908880865042771;0.278249856178561;0.0590084715531523;0.00765669196935946;0.711524856686237;NA;NA;NA;0.77811790431251;0.999999998873165;3.82567251666737e-68
556728843445949;340;20;1;2;10;1;2;0;0.5;1;0.774991045741139;0.373258491114408;0.584766617676005;0.32871873352641;0.844328198458179;0.770194871149688;NA;NA;NA;0.424334917666351;0.999999999244413;7.20878576286581e-60
73673199527168;360;20;1;2;10;1;2;0;0.5;1;0.91171010318285;0.0624335873999254;0.242798875299501;0.0822251451245446;0.00980864680038727;0.142467333572864;NA;NA;NA;0.127961654869972;0.999999997935219;4.23635329300835e-61
710399883578190;220;20;1;2;10;1;2;0;0.5;1;0.668607907452883;0.917493348243225;0.474137284421353;0.919741596952845;0.666077981578536;0.702356236809565;NA;NA;NA;0.242096455202996;0.999999855785019;1.8457235119655e-35
