ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
551790392274103;120;20;5;2;10;0;2;0;0.5;1;0.686464642869095;0.653281842376706;0.641259974218109;0.592999144331959;0.0138140161667565;0.638757131859812;NA;NA;NA;0.766641914722079;0.999971985338976;1.5409114929408e-15
981979376229640;200;20;5;2;10;0;2;0;0.5;1;0.600338517139674;0.743591086147439;0.893678319858595;0.829789481380639;0.149650848754143;0.644715805922565;NA;NA;NA;0.95053385181004;0.999999992759191;2.75518750139428e-30
131181803633198;160;20;5;2;10;0;2;0;0.5;1;0.775869546495201;0.549240140994144;0.764165252100702;0.581992890939074;0.00975520465858769;0.712156682100837;NA;NA;NA;0.872754470491011;0.99999999301984;7.24544874046241e-23
661575051201168;340;20;5;2;10;0;2;0;0.5;1;0.377348404886278;0.52163603251541;0.541388007767753;0.422532892622271;0.283564682232478;0.122447867447032;NA;NA;NA;0.31450097494709;0.999999996643867;1.18652692857441e-60
474026187964296;140;20;5;2;10;0;2;0;0.5;1;0.658652896867392;0.954426242399619;0.789854346041467;0.758078661079342;0.267112592924349;0.700517476074347;NA;NA;NA;0.257008632740248;0.999999823846711;8.33019702071654e-20
945030722689345;120;20;5;2;10;0;2;0;0.5;1;0.771487151809103;0.75006126893866;0.614736794404683;0.919174787357594;0.0802770062760296;0.786491930149627;NA;NA;NA;0.451648714301453;0.999999910490989;1.46205164545113e-15
50260299337060;380;20;5;2;10;0;2;0;0.5;1;0.428235531920454;0.853361704625081;0.728671173770385;0.787495880793384;0.770967686480284;0.923882335120477;NA;NA;NA;0.892481072423268;0.999999999745014;2.60961689465762e-66
569530960774360;100;20;5;2;10;0;2;0;0.5;1;0.72253642834087;0.276356277382531;0.762412745217891;0.523057944535057;0.993282716917281;0.399630932564464;NA;NA;NA;0.233970674829734;0.999921558312212;3.93700668056195e-12
73739922882622;320;20;5;2;10;0;2;0;0.5;1;0.370586508017498;0.143419696597009;0.461460849597985;0.211498281297737;0.0184997240890564;0.300190968187383;NA;NA;NA;0.734641093603841;0.99999999989748;4.59186453231827e-54
842916611025449;340;20;5;2;10;0;2;0;0.5;1;0.904988260082502;0.964886281747487;0.819067594900869;0.988477610170654;0.136882237898654;0.853273458288906;NA;NA;NA;0.963309458634872;0.999999998559033;1.29606555051636e-58
