ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
713184513342579;295;5;10;1;2;0;2.5;0.5;0.0466231294051008;2.98577100230568e-05;0.177443148098507;0.00373448742549964;0.00558140482836258;2.81446850988829e-05;0.0824254485564173;0.00341558725171543;7.17167046480958e-20;0.247743067574854;0.943977431414504;0.00185651972147969;NA;NA;NA;0.48540338644144;0.999637476345905;1.71995399810807e-50
17076466329153;260;5;10;1;2;0;2.5;0.5;0.0404767427137561;0.00013332254988733;0.00402797237429504;3.19853647208325e-06;0.00876499718278275;0.000125778283103393;0.00710099657634342;6.80194909070292e-06;0.0819527630375612;0.132298319083002;0.00187736031297059;4.93565545472546e-06;NA;NA;NA;0.612256215451386;0.999534264472648;1.91217760092521e-44
457110527189264;160;5;10;1;2;0;2.5;0.5;0.0141226877604721;0.00699717595475001;0.000253572512556701;0.000181810776820073;0.041649159432914;0.00284326644660671;0.0602192263692436;0.000235691570094734;0.0740498404340568;0.0750262908471977;0.0783386783215568;0.000171988263913718;NA;NA;NA;0.539955205605712;0.998784928546906;4.04093649057486e-27
319323166173993;70;5;10;1;2;0;2.5;0.5;0.345099744709993;0.725906598618666;0.198503400107862;0.0446519252518656;0.867463284855832;0.976628599486404;0.148822086582251;0.0347257301487193;0.168773151474002;0.512704746682922;0.158710775746893;0.0284430385480125;NA;NA;NA;0.190163824899643;0.993588797003701;1.45627810900962e-13
503532960623984;275;5;10;1;2;0;2.5;0.5;0.00562364161769262;2.22102345509484e-06;0.00560140864554235;8.87538569305794e-12;0.00151749311235396;1.75235076328543e-06;0.000111304758891258;1.30795339415416e-11;2.07277036580695e-28;0.108731282743345;6.05067552592479e-06;1.64962271824749e-11;NA;NA;NA;0.936310497965576;0.999072258924617;6.57201781944003e-47
932834108912789;270;5;10;1;2;0;2.5;0.5;1.43581483350567e-05;9.72499605485898e-10;0.219776319559134;0.0138961703210953;0.000355161861348308;2.27234249164804e-09;0.173387620604147;0.0130319898954684;2.65156292830343e-45;0.00102805019631301;0.0199094119800737;0.0207033992028634;NA;NA;NA;0.621540983394981;0.999552225738839;3.1320856815033e-51
47659626811282;295;5;10;1;2;0;2.5;0.5;0.0393884230764476;2.40772485274932e-07;5.59276893655223e-06;9.62446118307888e-11;0.00074846899712423;2.22401346761697e-07;0.000140147948646919;3.30528317369267e-11;6.36051446661176e-15;0.00341057954540388;2.29141410848611e-08;4.99126138577037e-11;NA;NA;NA;0.0285190688855588;0.9996344798844;9.20032662119392e-52
98422282910491;115;5;10;1;2;0;2.5;0.5;0.123611000887939;0.0017293379502459;0.143012288662727;5.85088472005637e-05;0.0312964023475831;0.00156937279038684;0.0212465326514373;7.50316346262554e-05;0.125103319899756;0.403530302045441;0.00483174248681252;0.000144653315499399;NA;NA;NA;0.951702092909283;1;2.96713713304693e-19
718847631480466;105;5;10;1;2;0;2.5;0.5;0.0188492954675486;0.00183058207973768;0.00302628830908638;0.000114063795215383;0.0862340678745204;0.00208290417663931;0.012303377926712;6.66263051717359e-05;0.00393314432406824;0.621194857104581;0.013544824232476;9.43518069707192e-05;NA;NA;NA;0.915745082290266;0.996963402199592;6.02921099544737e-21
159948243469791;95;5;10;1;2;0;2.5;0.5;0.173658040067305;0.0207281601273899;0.15078440287512;5.06423502387804e-05;0.129493310633057;0.0261724280341865;0.0510444577385758;2.23583047085437e-05;0.00162462534109328;0.0544295450204427;0.0276729389341665;5.32966542334503e-05;NA;NA;NA;0.715331361628525;1;6.60415284172096e-16
