ID;N;K;M;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
319461839819239;205;5;5;5;5;3;0;1;2;1.5;0.5;0;1.94875276265155e-08;4.09633795996883e-08;1.94875276265155e-08;1.87208529713002e-08;1.94875276265155e-08;0.00263623606523244;NA;NA;NA;0.583430402073362;0.998352071334851;2.00404416089895e-34
783352214956673;45;5;1;5;1;3;0;1;2;1.5;0.5;0;0.0648854347349072;0.0917630582668404;0.0648854347349072;0.0587976876013831;0.0648854347349072;0.118974875445789;NA;NA;NA;0.985288517849903;0.985288517849903;2.26788428387208e-08
493441582263334;110;5;2;5;2;2;0;1;2;1.5;0.5;0;0.000146565029245471;0.000188932243768475;0.000146565029245471;0.00017433054653831;0.000146565029245471;0.160775122213691;NA;NA;NA;0.662053069429215;0.994451006673539;2.48775045014208e-18
699915287941016;150;5;5;5;5;5;0;1;2;1.5;0.5;0;0.0024628921749534;0.00601905337976791;0.0024628921749534;0.00251959146295116;0.0024628921749534;0.0721553740612092;NA;NA;NA;0.00669381905893138;0.991793502404284;1.09895952131456e-25
511362912401552;400;5;1;5;1;3;0;1;2;1.5;0.5;0;6.7435572036735e-11;2.11426080626924e-10;6.7435572036735e-11;6.1853621170979e-11;6.7435572036735e-11;0.00885356475983689;NA;NA;NA;0.277506195282306;0.999552520877146;5.05788184518791e-71
824140871381474;200;5;5;5;5;5;0;1;2;1.5;0.5;0;0.00295347134741751;0.00342241692033673;0.00295347134741751;0.00322697220600686;0.00295347134741751;0.649070867314444;NA;NA;NA;0.921620663436816;0.998269048660548;1.20930873685245e-33
186871404990899;310;5;5;5;5;5;0;1;2;1.5;0.5;0;3.46298248765949e-06;4.21463129038228e-06;3.46298248765949e-06;4.00502373342446e-06;3.46298248765949e-06;0.185078906208693;NA;NA;NA;0.831382282446797;0.999671712598649;5.79910949331113e-53
909157201049819;320;5;2;5;2;2;0;1;2;1.5;0.5;0;7.73672487805498e-13;1.90806840931628e-12;7.73672487805498e-13;8.95776565074635e-13;7.73672487805498e-13;0.000218109901439483;NA;NA;NA;0.281487532649497;0.999691800826623;1.13454928984435e-54
941803131096949;250;5;5;5;5;2;0;1;2;1.5;0.5;0;2.78690662629026e-06;3.82414521867632e-06;2.78690662629026e-06;2.50514753706416e-06;2.78690662629026e-06;0.18544631909831;NA;NA;NA;0.587549313933488;0.998877290129275;5.79662634602054e-43
273543810009979;85;5;3;5;3;2;0;1;2;1.5;0.5;0;0.00317011321660509;0.00512122233562512;0.00317011321660509;0.00392677820102998;0.00317011321660509;0.0159288718860042;NA;NA;NA;0.067547001605352;0.99092228711938;5.83635623525506e-14
