ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
136961840361578;110;10;10;1;2;0;0;0.5;0.461269358363661;0.554654268159998;0.832441899165337;0.600038139231709;0.500365950193534;0.359243160017832;0.731369831057019;0.984273954849703;0.0109382629843788;1.00053722052198e-11;0.833086313313194;0.949427780551796;NA;NA;NA;0.915355953271085;0.999620002912956;1.47039394652091e-19
400764887840894;90;10;10;1;2;0;0;0.5;0.141219027719456;0.0379916413398412;0.639616917236013;0.650052664151656;0.0913277749495868;0.0336316020486952;0.527235432112453;0.36649169184189;0.128993349758668;0.691708513266974;0.395702597101304;0.230645163636007;NA;NA;NA;0.783659566324241;0.999516507353781;8.85365752282986e-15
732423482249080;260;10;10;1;2;0;0;0.5;0.00902413244763245;0.00108967549536405;0.882797555684063;0.153676917867576;0.031416491214735;0.000491256410110845;0.391862365560613;0.129975159877973;0.744296839458994;0.496992669338113;0.161369197572437;0.18454349776027;NA;NA;NA;0.705703287634275;0.999999887337537;1.91658921891513e-45
578589764114780;240;10;10;1;2;0;0;0.5;0.581004015383257;0.280450150311821;0.714401633083304;0.787514804905824;0.423483549723073;0.194754179790444;0.570223654260032;0.631207867027391;0.0242340523584972;0.624919000973175;0.0934479014245138;0.682964393830472;NA;NA;NA;0.701609731767469;1;1.13730992662141e-41
366879776650352;190;10;10;1;2;0;0;0.5;0.981374497195683;0.148879699205515;0.00177860005096406;0.264544424276475;0.342295982670284;0.119556312999083;0.830800832807851;0.391555457215923;1.6572795852332e-05;0.470280671116562;0.90718936783797;0.474467409634135;NA;NA;NA;0.292897290546193;0.999966266644732;3.43359288150086e-32
95376558627741;90;10;10;1;2;0;0;0.5;0.113624878546591;0.659614263373959;0.899171813809097;0.99944038397019;0.402275371902918;0.403311351068372;0.918877434153366;0.642091578557518;9.89426644977453e-05;0.711625565564427;0.928173510919548;0.911620404684451;NA;NA;NA;0.10856248779205;0.999266403382737;8.39980333050642e-15
337778733240121;180;10;10;1;2;0;0;0.5;0.167058674651421;0.103821906147726;0.776751730188288;0.666023503354239;0.944529843960427;0.353563543669031;0.741648721351694;0.617772406237548;0.00048378232123066;0.906290814555693;0.805986687349649;0.608566222477917;NA;NA;NA;0.233873752418004;0.999976785502091;1.95877604870972e-30
588374779437916;240;10;10;1;2;0;0;0.5;0.852223719120563;0.348565947772452;0.165863158089337;0.258614084545937;0.634675233104232;0.434130301696805;0.586341752604155;0.166933604262902;0.959942037402369;0.724569339068417;0.549510338948515;0.237361145539665;NA;NA;NA;0.0717042449050071;1;1.13730992662141e-41
635286236094458;170;10;10;1;2;0;0;0.5;0.321802412629199;0.326407062268255;0.389746667193354;0.88487963420733;0.966147760532362;0.41859448402077;0.770635267100833;0.870536884989625;0.8975986509262;0.868093102138042;0.625508323697136;0.719394655268603;NA;NA;NA;0.572375865613727;0.999948709257755;3.75236692889686e-31
710827097152151;250;10;10;1;2;0;0;0.5;0.611177097156751;0.82886515317788;0.981128629298445;0.0821144485435931;0.917508110391294;0.959605842978312;0.408171766841927;0.0969347773896785;0.0128985869225342;0.327426016089626;0.707156316103863;0.0868627340917493;NA;NA;NA;0.593015004086547;0.999990270713557;6.4494609781585e-48
